manufacturer,catalog_number,alternate_identifiers,gtin,normalized_catalog_number,baseline_products_compared,strongest_duplicate_candidates,final_result,canonical_product_id
Praxis Medical LLC,ENDO-BV-22G-Kit-O,ENDO-BV-22G-O; Primary DI 00850081350033,10850081350030,ENDOBV22GKITO,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-1ED27ADA45
Praxis Medical LLC,ENDO-FR-22G-Kit-O,ENDO-FR-22G-O; Primary DI 00850081350040,10850081350047,ENDOFR22GKITO,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-AC45D3E510
Serpex Medical,MCB-1000-Kit,MCB-1000,,MCB1000KIT,1929,The FDA base model is retained as an alternate identifier; distinct owner-supplied package suffixes remain separate orderable configurations.,new_unique_exact_product,PRD-F9BA60E9A6
Serpex Medical,MCB-1000-4,MCB-1000,,MCB10004,1929,The FDA base model is retained as an alternate identifier; distinct owner-supplied package suffixes remain separate orderable configurations.,new_unique_exact_product,PRD-AED3720BF6
Serpex Medical,CC-1000-4,CC-1000,,CC10004,1929,The FDA base model is retained as an alternate identifier; distinct owner-supplied package suffixes remain separate orderable configurations.,new_unique_exact_product,PRD-75D987903F
DISA Medinotec,TRD1-06030,,,TRD106030,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-973D3F9656
DISA Medinotec,TRD1-07030,,,TRD107030,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-908A9B501B
DISA Medinotec,TRD1-08030,,,TRD108030,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-85B355AE93
DISA Medinotec,TRD1-09030,,,TRD109030,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-81878EEA9B
DISA Medinotec,TRD1-10030,,,TRD110030,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-BA71A30B4A
DISA Medinotec,TRD1-12040,,,TRD112040,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-73A1532E08
DISA Medinotec,TRD1-14540,,,TRD114540,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-5AC73F2FA3
DISA Medinotec,TRD1-16040,,,TRD116040,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-2C1F1ABA62
DISA Medinotec,TRD1-18040,,,TRD118040,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-4F290FD9D3
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M22,,06970462546115,BRM22,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-DADEAB2B83
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M32,,06970462546108,BRM32,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-AFF9BDD685
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M40,,06970462546092,BRM40,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-39C1BDB306
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M50,,06970462546085,BRM50,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-48F43B9C6A
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M58,,06970462546061,BRM58,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-4E7880DB69
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M40H,,06970462546184,BRM40H,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-A3852DB56A
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M52H,,06970462546177,BRM52H,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-961C4B6422
"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M58H,,06970462546160,BRM58H,1929,"Shenzhen HugeMed Medical Technical Development Co., Ltd. remains the sole legal manufacturer; EndoTherapeutics is distributor/brand context and does not create a duplicate manufacturer.",new_unique_exact_product,PRD-B02CF0A059
CLR Medical,S012-01-200,,00860003054949,S01201200,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-2CD37C1E67
CLR Medical,S012-01-100,,00860003054918,S01201100,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-2FA3F3A0DD
CLR Medical,S012-01-016,,00850052377007,S01201016,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-BC2856A7CB
CLR Medical,S012-01-015,,00860003054994,S01201015,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-D59133B2EE
CLR Medical,S012-01-019,,00860003054901,S01201019,1929,"No same-manufacturer exact catalog-number, normalized identifier, GTIN, alternate-identifier, or deterministic-ID collision in the 1,929-product baseline.",new_unique_exact_product,PRD-003C4641E6
Cook Medical,G34281,ECHO-HD-22-EBUS-O-C,,G34281,1929,Existing exact Cook order number G34281 already carries alternate identifier ECHO-HD-22-EBUS-O-C.,existing_alias_or_format_variant,PRD-5CC8131FDE
Cook Medical,G34279,ECHO-HD-22-EBUS-P-C,,G34279,1929,Existing exact Cook order number G34279 already carries alternate identifier ECHO-HD-22-EBUS-P-C.,existing_alias_or_format_variant,PRD-2D0C9B936A
Cook Medical,G34282,ECHO-HD-25-EBUS-O-C,,G34282,1929,Existing exact Cook order number G34282 already carries alternate identifier ECHO-HD-25-EBUS-O-C.,existing_alias_or_format_variant,PRD-2DA93F54B9
Cook Medical,G34280,ECHO-HD-25-EBUS-P-C,,G34280,1929,Existing exact Cook order number G34280 already carries alternate identifier ECHO-HD-25-EBUS-P-C.,existing_alias_or_format_variant,PRD-3F51C7D66F
