candidate_id,origin,manufacturer,legal_manufacturer,brand_or_distributor,catalog_number,alternate_identifier,product_name,source_evidence,source_scope,original_csv_status,canonical_status_before,exact_identifier_confidence,clinical_scope_disposition,disposition,canonical_product_id,role_assignment,taxonomy_class,taxonomy_subtype,taxonomy_confidence,owner_review_required,rationale
SC-CAND-050,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-14540,,"Trachealator Non-Occlusive Airway Balloon, 14.5 x 40 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-5AC73F2FA3,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-051,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-16040,,"Trachealator Non-Occlusive Airway Balloon, 16 x 40 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-2C1F1ABA62,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-052,owner_pdf,DISA Medinotec,DISA Medinotec,Trachealator,TRD1-18040,,"Trachealator Non-Occlusive Airway Balloon, 18 x 40 mm","SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-4F290FD9D3,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-053,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M22,,BR-M22 Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC100: Single-use bronchoscope model/specification table | SRC102: AccessGUDID Primary DI 06970462546115",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-DADEAB2B83,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-054,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M32,,BR-M32 Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC100: Single-use bronchoscope model/specification table | SRC102: AccessGUDID Primary DI 06970462546108",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-AFF9BDD685,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-055,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M40,,BR-M40 Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC100: Single-use bronchoscope model/specification table | SRC102: AccessGUDID Primary DI 06970462546092",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-39C1BDB306,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-056,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M50,,BR-M50 Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC100: Single-use bronchoscope model/specification table | SRC102: AccessGUDID Primary DI 06970462546085",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-48F43B9C6A,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-057,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M58,,BR-M58 Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC100: Single-use bronchoscope model/specification table | SRC102: AccessGUDID Primary DI 06970462546061",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-4E7880DB69,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-058,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M40H,,BR-M40H HD Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546184",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-A3852DB56A,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-059,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M52H,,BR-M52H HD Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546177",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-961C4B6422,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-060,owner_pdf,"Shenzhen HugeMed Medical Technical Development Co., Ltd.","Shenzhen HugeMed Medical Technical Development Co., Ltd.",HugeMed Single-Use Flexible Bronchoscope / EndoTherapeutics,BR-M58H,,BR-M58H HD Single-Use Flexible Bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546160",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-B02CF0A059,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-061,owner_pdf,CLR Medical,CLR Medical,CLR Irrigation System,S012-01-200,,CLR Irrigation and Drainage Kit,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00860003054949",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-2CD37C1E67,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-062,owner_pdf,CLR Medical,CLR Medical,CLR Irrigation System,S012-01-100,,CLR Port,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00860003054918",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-2FA3F3A0DD,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-063,owner_pdf,CLR Medical,CLR Medical,CLR Irrigation System,S012-01-016,,CLR Port Injector,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00850052377007",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-BC2856A7CB,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-064,owner_pdf,CLR Medical,CLR Medical,CLR Irrigation System,S012-01-015,,CLR Port Cap,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00860003054994",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-D59133B2EE,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,high,no,Absent from the old CSV and baseline catalog; owner source plus manufacturer/FDA evidence supports an exact in-scope identity.
SC-CAND-065,owner_pdf,CLR Medical,CLR Medical,CLR Irrigation System,S012-01-019,,CLR Irrigator,"SRC089: Rendered PDF page 6, CLR Irrigator panel | SRC103: CLR Irrigator IFU LBL S012-01-203 Rev D | SRC104: AccessGUDID Primary DI 00860003054901",exact_product,absent,absent,high,in_scope,new_exact_product_candidate,PRD-003C4641E6,PLEURAL_DRAINAGE_ACCESSORY,other_needs_review,unclassified_device,needs_review,yes,Exact identity is resolved and clinically in scope; physical taxonomy intentionally remains other_needs_review.
SC-CAND-230,owner_pdf,Cook Medical,Cook Medical,,G34281,ECHO-HD-22-EBUS-O-C,"EchoTip Endobronchial HD Ultrasound Needle, 22G Olympus","SRC089: Rendered PDF page 7, 22G Olympus row",exact_product,represented,existing PRD-5CC8131FDE,high,in_scope,existing_alias_or_format_variant,PRD-5CC8131FDE,EBUS_NEEDLE_FNA,needle,ebus_tbna_needle,high,no,Existing exact Cook order number G34281 already carries alternate identifier ECHO-HD-22-EBUS-O-C.
SC-CAND-231,owner_pdf,Cook Medical,Cook Medical,,G34279,ECHO-HD-22-EBUS-P-C,"EchoTip Endobronchial HD Ultrasound Needle, 22G Pentax","SRC089: Rendered PDF page 7, 22G Pentax row",exact_product,represented,existing PRD-2D0C9B936A,high,in_scope,existing_alias_or_format_variant,PRD-2D0C9B936A,EBUS_NEEDLE_FNA,needle,ebus_tbna_needle,high,no,Existing exact Cook order number G34279 already carries alternate identifier ECHO-HD-22-EBUS-P-C.
SC-CAND-232,owner_pdf,Cook Medical,Cook Medical,,G34282,ECHO-HD-25-EBUS-O-C,"EchoTip Endobronchial HD Ultrasound Needle, 25G Olympus","SRC089: Rendered PDF page 7, 25G Olympus row",exact_product,represented,existing PRD-2DA93F54B9,high,in_scope,existing_alias_or_format_variant,PRD-2DA93F54B9,EBUS_NEEDLE_FNA,needle,ebus_tbna_needle,high,no,Existing exact Cook order number G34282 already carries alternate identifier ECHO-HD-25-EBUS-O-C.
SC-CAND-233,owner_pdf,Cook Medical,Cook Medical,,G34280,ECHO-HD-25-EBUS-P-C,"EchoTip Endobronchial HD Ultrasound Needle, 25G Pentax","SRC089: Rendered PDF page 7, 25G Pentax row",exact_product,represented,existing PRD-3F51C7D66F,high,in_scope,existing_alias_or_format_variant,PRD-3F51C7D66F,EBUS_NEEDLE_FNA,needle,ebus_tbna_needle,high,no,Existing exact Cook order number G34280 already carries alternate identifier ECHO-HD-25-EBUS-P-C.
SC-CAND-236,owner_pdf,Axess Vision Technology S.A.S.,Axess Vision Technology S.A.S.,,00020019,,HDMI/DVI Cable,"SRC089: Rendered PDF page 1, accessory ordering list",exact_product,absent_new_source,absent,high,commodity_accessory_relevance_uncertain,needs_owner_review,,none,,,,yes,"The exact code is supported, but the item is a generic HDMI/DVI cable and the bounded scope includes only directly required manufacturer-specific capital accessories. Owner confirmation is needed that this cable has material device-specific identity."
