product_id,manufacturer,catalog_number,alternate_identifiers,product_name,origin,verification_grade,visibility_state,role_code,taxonomy_class,taxonomy_subtype,evidence
PRD-F9BA60E9A6,Serpex Medical,MCB-1000-Kit,MCB-1000,Narwhal Cryobiopsy Probe and Cartridge Kit,owner_pdf,verified_source,hidden,CRYOPROBE_FLEX,cryotherapy,flexible_cryoprobe,"SRC089: Rendered PDF page 3, Narwhal ordering and specification panels | SRC097: K261068, device description and model table"
PRD-AED3720BF6,Serpex Medical,MCB-1000-4,MCB-1000,Narwhal Cryobiopsy Probe,owner_pdf,verified_source,hidden,CRYOPROBE_FLEX,cryotherapy,flexible_cryoprobe,"SRC089: Rendered PDF page 3, Narwhal ordering and specification panels | SRC097: K261068, device description and model table"
PRD-75D987903F,Serpex Medical,CC-1000-4,CC-1000,Narwhal Cryo Cartridge Pack,owner_pdf,verified_source,hidden,intentionally_roleless,cryotherapy,cryotherapy_accessory,"SRC089: Rendered PDF page 3, Narwhal ordering and specification panels | SRC097: K261068, device description and model table"
PRD-973D3F9656,DISA Medinotec,TRD1-06030,,"Trachealator Non-Occlusive Airway Balloon, 6 x 30 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-908A9B501B,DISA Medinotec,TRD1-07030,,"Trachealator Non-Occlusive Airway Balloon, 7 x 30 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-85B355AE93,DISA Medinotec,TRD1-08030,,"Trachealator Non-Occlusive Airway Balloon, 8 x 30 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-81878EEA9B,DISA Medinotec,TRD1-09030,,"Trachealator Non-Occlusive Airway Balloon, 9 x 30 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-BA71A30B4A,DISA Medinotec,TRD1-10030,,"Trachealator Non-Occlusive Airway Balloon, 10 x 30 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-73A1532E08,DISA Medinotec,TRD1-12040,,"Trachealator Non-Occlusive Airway Balloon, 12 x 40 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-5AC73F2FA3,DISA Medinotec,TRD1-14540,,"Trachealator Non-Occlusive Airway Balloon, 14.5 x 40 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-2C1F1ABA62,DISA Medinotec,TRD1-16040,,"Trachealator Non-Occlusive Airway Balloon, 16 x 40 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-4F290FD9D3,DISA Medinotec,TRD1-18040,,"Trachealator Non-Occlusive Airway Balloon, 18 x 40 mm",owner_pdf,verified_source,hidden,AIRWAY_BALLOON_DILATOR,balloon_dilation,airway_balloon_dilator,"SRC089: Rendered PDF page 4, visually confirmed Trachealator ordering table | SRC098: Trachealator product page | SRC099: K211894, device description"
PRD-DADEAB2B83,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M22,,BR-M22 Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546115"
PRD-AFF9BDD685,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M32,,BR-M32 Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546108"
PRD-39C1BDB306,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M40,,BR-M40 Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546092"
PRD-48F43B9C6A,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M50,,BR-M50 Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546085"
PRD-4E7880DB69,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M58,,BR-M58 Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546061"
PRD-A3852DB56A,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M40H,,BR-M40H HD Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546184"
PRD-961C4B6422,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M52H,,BR-M52H HD Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546177"
PRD-B02CF0A059,"Shenzhen HugeMed Medical Technical Development Co., Ltd.",BR-M58H,,BR-M58H HD Single-Use Flexible Bronchoscope,owner_pdf,verified_source,hidden,FLEX_SCOPE_SINGLE_USE,bronchoscope,single_use_video_bronchoscope,"SRC089: Rendered PDF page 5, visually confirmed model/specification table | SRC100: Single-use bronchoscope model/specification tables | SRC101: K222910, applicant and device-description sections | SRC102: AccessGUDID Primary DI 06970462546160"
PRD-2CD37C1E67,CLR Medical,S012-01-200,,CLR Irrigation and Drainage Kit,owner_pdf,verified_source,hidden,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00860003054949"
PRD-2FA3F3A0DD,CLR Medical,S012-01-100,,CLR Port,owner_pdf,verified_source,hidden,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00860003054918"
PRD-BC2856A7CB,CLR Medical,S012-01-016,,CLR Port Injector,owner_pdf,verified_source,hidden,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00850052377007"
PRD-D59133B2EE,CLR Medical,S012-01-015,,CLR Access Cap,owner_pdf,verified_source,hidden,PLEURAL_DRAINAGE_ACCESSORY,pleural_drainage,pleural_drainage_accessory,"SRC089: Rendered PDF page 6, CLR irrigation-system component panel | SRC103: CLR product pages and component IFUs | SRC104: AccessGUDID Primary DI 00860003054994"
PRD-003C4641E6,CLR Medical,S012-01-019,,CLR Irrigator,owner_pdf,verified_source,hidden,PLEURAL_DRAINAGE_ACCESSORY,other_needs_review,unclassified_device,"SRC089: Rendered PDF page 6, CLR Irrigator panel | SRC103: CLR Irrigator IFU LBL S012-01-203 Rev D | SRC104: AccessGUDID Primary DI 00860003054901"
