product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,rationale,official_fda_evidence_summary,official_manufacturer_evidence_summary,official_fda_safety_action_summary,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,conflicts,source_links,proposed_human_review_disposition,reviewer_decision,reviewer_rationale,second_review_required,second_review_decision,second_review_rationale,canonical_change_applied
PRD-03B374F7B8,Thoracent / M.I.Tech,Bonastent Tracheobronchial Stent,BTB-182009,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://api.fda.gov/device/enforcement.json?search=product_description%3A%22BTB-182009%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22BTB-182009%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-0410844D48,Cook Medical,Fuhrman Pleural/Pneumopericardial Drainage Set and Tray,G55713,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://www.cookmedical.com/products/cc_utpt_webds/|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22G55713%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22G55713%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200827002557130%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22G55713%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-042A57F191,Karl Storz,Coagulation Suction Tube,10390AN,,insufficient_evidence,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: no_result. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: all_exact_configurations_active; listing: search_incomplete; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204048551048368%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2210390AN%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210390AN%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210390+AN%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204048551048368%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210390+AN%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204048551048368%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-045F1D520E,Micro-Tech Endoscopy,Micro-Tech Uncovered Y-Shaped Tracheal Stent,ST02-961-18.060,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.micro-tech-medical.com/products/Tracheal-Bronchial-Stents.html|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22ST02-961-18.060%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22ST02-961-18.060%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-047902FA9C,Olympus,WM-NP3 Series Workstation,WM-NP3,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_exact_official_us_product. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: current_exact_official_us_product; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://content.medical.olympusamerica.com/products/accessory-solutions|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22WM-NP3%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22WM-NP3%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-04E1CAF545,Medtronic,Shiley Flexible Adult Cuffless Tracheostomy Tube,10UN10H,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,"Safety search: searched; action state: active_exact_product_action; scope: lot_specific; review eligibility: not_applicable. Z-1357-2023 (event 91943, Class I, status Ongoing / Open, Classified, initiated 2023-03-24, matched 10UN10H/20884521176291, reported by device_enforcement and device_recall). A safety action is not discontinuation evidence.",searched,active_exact_product_action,lot_specific,Z-1357-2023 (event 91943),not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210UN10H%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2220884521176291%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210UN10H%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521176291%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210UN10H%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521176291%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-050EDDE140,Karl Storz,Laryngeal Atomizer,10454,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: no_result. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: no_result; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://www.karlstorz.com/us/en/thoracic-surgery-and-pulmonology.htm|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210454%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210454%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2210454%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2210454%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2210454%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-05670F1B5F,ERBE,Flexible Cryoprobe 2.4 mm,20402-411,,current_us_distribution_supported,high,exact_manufacturer_catalog_number,"Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_active. Manufacturer finding: exact_identity_only_not_current. Every retrieved exact GUDID configuration reports current commercial distribution from a current snapshot, and the independent invariants passed. A second exact current source (an exact current FDA listing or an exact current official manufacturer U.S. source) corroborates it. Current distribution is not present orderability: no source here establishes that the product can be ordered today. This is a review proposal only. An active exact FDA safety action (Z-1568-2026; scope lot_specific) applies to this exact product, so ordinary prototype-visibility review is held pending physician/governance safety review. The safety action does not establish that the product is discontinued or no longer distributed.",UDI: all_exact_configurations_active; listing: exact_current_listing; authorization: exact_510k_clearance.,Manufacturer finding: exact_identity_only_not_current; exact source: true.,"Safety search: searched; action state: active_exact_product_action; scope: lot_specific; review eligibility: hold_active_safety_action. Z-1568-2026 (event 98429, Class I, status Ongoing / Open, Classified, initiated 2026-02-12, matched 04050147021846/20402-411, reported by device_enforcement and device_recall). A safety action is not discontinuation evidence.",searched,active_exact_product_action,lot_specific,Z-1568-2026 (event 98429),hold_active_safety_action,,https://us.erbe-med.com/fileadmin/user_upload/documents/PDF/USA/MKT-5074_ERBECRYO-2_2023-06.pdf|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204050147021839%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%2220402-411%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%2220402-411%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K190651%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GEH%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K190651%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%2220402-411%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147021846%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204050147021839%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147021846%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%2220402-411%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204050147021839%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K190651%22&limit=100,keep_hidden_pending_active_safety_action_review,pending,,true,,,false
PRD-0577F2977F,Richard Wolf,Optical Grasping Forceps Grasper 3XL,8466654,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_non_us. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228466654%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228466654%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-0581A0B7D2,Thoracent / M.I.Tech,Bonastent Tracheobronchial Stent,BTB-147009,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://api.fda.gov/device/enforcement.json?search=product_description%3A%22BTB-147009%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22BTB-147009%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-058B06F45B,Richard Wolf,Optical Pike-Mouth Grasping Forceps,8464.61,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_non_us. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228464.61%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228464.61%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
