input_row_number,extracted_identifier,extracted_product_name,extracted_manufacturer,source_filename,matched_source_page,disposition,canonical_product_id,canonical_catalog_number,match_basis,evidence_strength,reason_code,owner_review_note
26,OSC-5F-10S,Centesis Catheter - 5F; 10 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-2E5CDD2315,OSC-5F-10S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
27,OSC-5F-12PL,Centesis Catheter - 5F; 12 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-75EC41AEDA,OSC-5F-12PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
28,OSC-5F-12PS,Centesis Catheter - 5F; 12 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-2C9A03C41A,OSC-5F-12PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
29,OSC-5F-15L,Centesis Catheter - 5F; 15 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-0DE3F1F8C3,OSC-5F-15L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
30,OSC-5F-15S,Centesis Catheter - 5F; 15 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-564C66C00A,OSC-5F-15S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
31,OSC-5F-17PL,Centesis Catheter - 5F; 17 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-E92A7EC85C,OSC-5F-17PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
32,OSC-5F-17PS,Centesis Catheter - 5F; 17 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-194C99D2D3,OSC-5F-17PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
33,OSC-5F-7L,Centesis Catheter - 5F; 7 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-4A053AA647,OSC-5F-7L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
34,OSC-5F-7S,Centesis Catheter - 5F; 7 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-1B27E1D4BA,OSC-5F-7S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
35,OSC-6F-10L,Centesis Catheter - 6F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-9DEE331FF0,OSC-6F-10L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
36,OSC-6F-10S,Centesis Catheter - 6F; 10 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-C811661645,OSC-6F-10S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
37,OSC-6F-12PL,Centesis Catheter - 6F; 12 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-4379B878E6,OSC-6F-12PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
38,OSC-6F-12PS,Centesis Catheter - 6F; 12 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-A2E61F3CDC,OSC-6F-12PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
39,OSC-6F-15L,Centesis Catheter - 6F; 15 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-BB1C007EE6,OSC-6F-15L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
40,OSC-6F-15S,Centesis Catheter - 6F; 15 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-A6299876FB,OSC-6F-15S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
41,OSC-6F-17PL,Centesis Catheter - 6F; 17 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-1867BEE0A7,OSC-6F-17PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
42,OSC-6F-17PS,Centesis Catheter - 6F; 17 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-C2D9370B88,OSC-6F-17PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
43,OSC-6F-7L,Centesis Catheter - 6F; 7 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-DE790B8608,OSC-6F-7L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
44,OSC-6F-7S,Centesis Catheter - 6F; 7 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-07FA3BEBCB,OSC-6F-7S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
45,OSC-8F-10L,Centesis Catheter - 8F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-81D1E660C8,OSC-8F-10L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
46,OSC-8F-10S,Centesis Catheter - 8F; 10 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-81294A9EB3,OSC-8F-10S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
47,OSC-8F-12PL,Centesis Catheter - 8F; 12 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-52AEFAC307,OSC-8F-12PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
48,OSC-8F-12PS,Centesis Catheter - 8F; 12 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-304BD7E5FC,OSC-8F-12PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
49,OSC-8F-15L,Centesis Catheter - 8F; 15 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-9B2F13C1BA,OSC-8F-15L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
50,OSC-8F-15S,Centesis Catheter - 8F; 15 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-0E17091BA1,OSC-8F-15S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
51,OSC-8F-17PL,Centesis Catheter - 8F; 17 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-CC8E8D081A,OSC-8F-17PL,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
52,OSC-8F-17PS,Centesis Catheter - 8F; 17 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-8CC639A8AF,OSC-8F-17PS,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
53,OSC-8F-7L,Centesis Catheter - 8F; 7 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-BD7D0C388D,OSC-8F-7L,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
54,OSC-8F-7S,Centesis Catheter - 8F; 7 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 11,new_product_added,PRD-2D75D9FB0F,OSC-8F-7S,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
55,FBG10,DRAINAGE ACCESSORIES,Merit Medical Systems,401418001.pdf,PDF p. 18,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
56,K12-08324,DRAINAGE ACCESSORIES - 12F x 20 cm,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
57,K12-08325,DRAINAGE ACCESSORIES - 14F x 20 cm,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
58,L3SNC,DRAINAGE ACCESSORIES - 3-way Large Bore Stopcock,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
59,L4SNC,DRAINAGE ACCESSORIES - 4-way Large Bore Stopcock,Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
60,RLS100,DRAINAGE ACCESSORIES - 5 Labels (orange) with Pen,Merit Medical Systems,401418001.pdf,PDF p. 18,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
61,K12-08326,"DRAINAGE ACCESSORIES - Chiba, 18G x 15 cm",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
62,VAC110,"DRAINAGE ACCESSORIES - VacLok® Syringe, 10 mL",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
63,VAC120,"DRAINAGE ACCESSORIES - VacLok® Syringe, 20 mL",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
64,VAC130,"DRAINAGE ACCESSORIES - VacLok® Syringe, 30 mL",Merit Medical Systems,401418001.pdf,PDF p. 17,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
65,MDD600,"DRAINAGE BAGS AND TUBING - Bag, 600 mL",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
66,MDD600PML,"DRAINAGE BAGS AND TUBING - Bag, 600 mL (with polypropylene luer)",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
67,K10-00230B,"DRAINAGE BAGS AND TUBING - Closed Waste System with 1,400-mL MDD Bag, Tubing, and CRV Valve (designed for quick and safe drainage elimination)",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
68,K10-04131A,"DRAINAGE BAGS AND TUBING - Connecting Tubing with One-way Stopcock, 30 cm",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
69,K10-04132A,"DRAINAGE BAGS AND TUBING - Connecting Tubing with One-way Stopcock, 42 cm",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
70,K10-04129A,"DRAINAGE BAGS AND TUBING - Connecting Tubing, 30 cm",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
71,K10-04130A,"DRAINAGE BAGS AND TUBING - Connecting Tubing, 42 cm",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
72,K10-06126,"DRAINAGE BAGS AND TUBING - Large Bore Tubing with Roller Clamp, 96,"" and Hose Fitting for Wall Suction Drainage",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
73,K08-02027,"DRAINAGE BAGS AND TUBING - Tubing Kit with Barbed Male Luer, 16""",Merit Medical Systems,401418001.pdf,PDF p. 16,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
74,EVAC1000,"Evacuated Drainage Bottle - Bottle, 1,000 mL volume",Merit Medical Systems,401418001.pdf,PDF p. 9,irrelevant_to_current_scope,,,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,high,generic_percutaneous_drainage_paracentesis_or_general_supply_not_pleural_specific,
75,OSC-4F-10LT,faster flow rates1 - 4F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-7F5DE98072,OSC-4F-10LT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
76,OSC-4F-10T,faster flow rates1 - 4F; 10 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-17F91285B0,OSC-4F-10T,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
77,OSC-4F-12PLT,faster flow rates1 - 4F; 12 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-44B8646C32,OSC-4F-12PLT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
78,OSC-4F-12PT,faster flow rates1 - 4F; 12 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-6242870599,OSC-4F-12PT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
79,OSC-4F-17PLT,faster flow rates1 - 4F; 17 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-C6B6BD759E,OSC-4F-17PLT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
80,OSC-4F-17PT,faster flow rates1 - 4F; 17 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-EBE3C4E5EF,OSC-4F-17PT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
81,OSC-4F-7LT,faster flow rates1 - 4F; 7 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-F24CF1B9C7,OSC-4F-7LT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
82,OSC-4F-7T,faster flow rates1 - 4F; 7 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-E8BAEDDF61,OSC-4F-7T,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
83,OSC-5F-10LT,faster flow rates1 - 5F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-1E84AF18DF,OSC-5F-10LT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
84,OSC-5F-10T,faster flow rates1 - 5F; 10 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-5483564F3B,OSC-5F-10T,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
85,OSC-5F-12PT,faster flow rates1 - 5F; 12 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-3075D02CC0,OSC-5F-12PT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
86,OSC-5F-15LT,faster flow rates1 - 5F; 15 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-1BE33BF3AD,OSC-5F-15LT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
87,OSC-5F-15T,faster flow rates1 - 5F; 15 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-6A80B1640D,OSC-5F-15T,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
88,OSC-5F-17PLT,faster flow rates1 - 5F; 17 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-D40CA802F4,OSC-5F-17PLT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
89,OSC-5F-17PT,faster flow rates1 - 5F; 17 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-483170BE1E,OSC-5F-17PT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
90,OSC-5F-7LT,faster flow rates1 - 5F; 7 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-A9C03C078D,OSC-5F-7LT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
91,OSC-5F-7T,faster flow rates1 - 5F; 7 cm; Slip Fit,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-AA51641B5A,OSC-5F-7T,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
92,OSC-6F-10LT,faster flow rates1 - 6F; 10 cm; Fixed Luer,Merit Medical Systems,401418001.pdf,PDF p. 10,new_product_added,PRD-F2D56B29CB,OSC-6F-10LT,proposed_high_confidence_exact_id,high,proposed_high_confidence_exact_id,Proposed addition; not yet applied by this read-only agent.
