review_batch_id,review_batch_manufacturer,review_batch_product_count,input_row_numbers,product_id,manufacturer_id,manufacturer,catalog_number,product_name,brand_family,primary_category,subcategory,product_kind,role_code,verification_grade,visibility_state,evidence,strongest_duplicate_candidates,duplicate_rejection
B02-cardinal-health,Cardinal Health,21,668,PRD-A201D9E5BE,MFR-90D85DB52E,Cardinal Health,8888572545,"Argyle Silicone Thoracic Catheter — Straight, 24 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888572545 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,669,PRD-F86A126431,MFR-90D85DB52E,Cardinal Health,8888572552,"Argyle Silicone Thoracic Catheter — Straight, 28 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888572552 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,670,PRD-7C9E0734EE,MFR-90D85DB52E,Cardinal Health,8888572560,"Argyle Silicone Thoracic Catheter — Straight, 32 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888572560 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,671,PRD-1FB9854943,MFR-90D85DB52E,Cardinal Health,8888572578,"Argyle Silicone Thoracic Catheter — Straight, 36 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888572578 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,672,PRD-AA29300E40,MFR-90D85DB52E,Cardinal Health,8888573048,"Argyle Silicone Thoracic Catheter — Right-angle, 28 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888573048 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,673,PRD-0BBA9245DC,MFR-90D85DB52E,Cardinal Health,8888573055,"Argyle Silicone Thoracic Catheter — Right-angle, 32 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888573055 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,674,PRD-9B4FEC155D,MFR-90D85DB52E,Cardinal Health,8888570432,"Argyle Soft PVC Thoracic Catheter — Right-angle, 28 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888570432 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,675,PRD-75CE0E7B40,MFR-90D85DB52E,Cardinal Health,8888570440,"Argyle Soft PVC Thoracic Catheter — Right-angle, 32 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888570440 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,676,PRD-55542C46A8,MFR-90D85DB52E,Cardinal Health,8888570457,"Argyle Soft PVC Thoracic Catheter — Right-angle, 36 Fr × 20 in",,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 3,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888570457 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,682,PRD-1FAE9F5EA4,MFR-90D85DB52E,Cardinal Health,888561019K,Argyle Trocar Catheter — 10 Fr × 9 in,,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888561019 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,683,PRD-A5606F3A0E,MFR-90D85DB52E,Cardinal Health,888561027K,Argyle Trocar Catheter — 12 Fr × 9 in,,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888561027 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,684,PRD-EFD54DC9EF,MFR-90D85DB52E,Cardinal Health,888561035K,Argyle Trocar Catheter — 16 Fr × 10 in,,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888561035 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,685,PRD-3A10924AF9,MFR-90D85DB52E,Cardinal Health,888561043K,Argyle Trocar Catheter — 20 Fr × 10 in,,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888561043 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B02-cardinal-health,Cardinal Health,21,686,PRD-BC6CB66043,MFR-90D85DB52E,Cardinal Health,888561050K,Argyle Trocar Catheter — 24 Fr × 16 in,,Pleural procedures,Surgical chest tube,,CHEST_TUBE_SURGICAL,verified_source,hidden,SRC075: PDF p. 4,Closest Argyle family products use other Fr sizes/orientations; normalized long-form candidate 8888561050 is absent,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,464,PRD-320FF77256,MFR-2760A3270C,Cook Medical,G57716,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 7.5 mm Shiley Flexible Adult Tube,,Percutaneous tracheostomy,Percutaneous tracheostomy tray,,PERC_TRACH_KIT,verified_source,hidden,SRC074: Document p. 12/66 (PDF page 12),Existing Blue Rhino G57703/G57704/G57706 trays have different included-tube configurations,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,465,PRD-B027947191,MFR-2760A3270C,Cook Medical,G57717,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 8.5 mm Shiley Flexible Adult Tube,,Percutaneous tracheostomy,Percutaneous tracheostomy tray,,PERC_TRACH_KIT,verified_source,hidden,SRC074: Document p. 16/66 (PDF page 16),Existing Blue Rhino G57703/G57704/G57706 trays have different included-tube configurations,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,466,PRD-C61336D16B,MFR-2760A3270C,Cook Medical,G57718,Blue Rhino G2-Multi Percutaneous Tracheostomy Tray with 7.5 mm Shiley Evac Tube,,Percutaneous tracheostomy,Percutaneous tracheostomy tray,,PERC_TRACH_KIT,verified_source,hidden,SRC074: Document p. 19/66 (PDF page 19),Existing Blue Rhino G57703/G57704/G57706 trays have different included-tube configurations,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,696,PRD-72F4A3884F,MFR-2760A3270C,Cook Medical,G03302,Pneumothorax Set — 10.2 Fr,,Pleural procedures,Pneumothorax catheter or aspiration set,,PNEUMOTHORAX_KIT,verified_source,hidden,SRC076: PDF p. 7,"Existing Cook pneumothorax sets differ by Fr size, tray contents, or placement method",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,697,PRD-FA37816545,MFR-2760A3270C,Cook Medical,G03311,Pneumothorax Tray — 9 Fr,,Pleural procedures,Pneumothorax catheter or aspiration set,,PNEUMOTHORAX_KIT,verified_source,hidden,SRC076: PDF p. 7,"Existing Cook pneumothorax sets differ by Fr size, tray contents, or placement method",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,698,PRD-F61DF2B2E6,MFR-2760A3270C,Cook Medical,G04137,Thal-Quick Chest Tube Set — 24 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_LARGE_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,699,PRD-49256F1DC6,MFR-2760A3270C,Cook Medical,G04139,Thal-Quick Chest Tube Set — 28 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_LARGE_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,700,PRD-2DC22218B3,MFR-2760A3270C,Cook Medical,G04891,Thal-Quick Chest Tube Set — 16 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_LARGE_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,701,PRD-4B66601DB1,MFR-2760A3270C,Cook Medical,G05161,Thal-Quick Chest Tube Set — 12 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,702,PRD-E8F5C57738,MFR-2760A3270C,Cook Medical,G05453,Thal-Quick Chest Tube Set — 18 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_LARGE_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,703,PRD-460B74977C,MFR-2760A3270C,Cook Medical,G05454,Thal-Quick Chest Tube Set — 20 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_LARGE_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,704,PRD-26DC60023E,MFR-2760A3270C,Cook Medical,G05777,Thal-Quick Chest Tube Set — 14 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,705,PRD-9E8D77CC60,MFR-2760A3270C,Cook Medical,G06787,Thal-Quick Chest Tube Set — 10 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,706,PRD-070A63D4C6,MFR-2760A3270C,Cook Medical,G07243,Thal-Quick Chest Tube Set — 32 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_LARGE_BORE,verified_source,hidden,SRC076: PDF p. 10,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,707,PRD-59E3D04CC4,MFR-2760A3270C,Cook Medical,G27292,Cook Emergency Pneumothorax Set without ChloraPrep — 8.5 Fr,,Pleural procedures,Pneumothorax catheter or aspiration set,,PNEUMOTHORAX_KIT,verified_source,hidden,SRC076: PDF p. 6,"Existing Cook pneumothorax sets differ by Fr size, tray contents, or placement method",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,709,PRD-6BFF59DDAD,MFR-2760A3270C,Cook Medical,G56533,"Wayne Pneumothorax Catheter Set — Trocar, 14 Fr",,Pleural procedures,Pneumothorax catheter or aspiration set,,PNEUMOTHORAX_KIT,verified_source,hidden,SRC076: PDF p. 5,"Existing Cook pneumothorax sets differ by Fr size, tray contents, or placement method",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,710,PRD-DC3BA17C2B,MFR-2760A3270C,Cook Medical,G56537,"Wayne Pneumothorax Catheter Tray — Seldinger, 14 Fr",,Pleural procedures,Pneumothorax catheter or aspiration set,,PNEUMOTHORAX_KIT,verified_source,hidden,SRC076: PDF p. 4,"Existing Cook pneumothorax sets differ by Fr size, tray contents, or placement method",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,717,PRD-754F9ECFDD,MFR-2760A3270C,Cook Medical,G06791,Thal-Quick Chest Tube Tray — 8 Fr,,Pleural procedures,Chest tube set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC076: PDF p. 11,"Existing Thal-Quick SKUs differ by Fr size, set-versus-tray packaging, or lumen configuration",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,800,PRD-FE81710DC5,MFR-2760A3270C,Cook Medical,G47686,"Captura Pro Pulmonary Biopsy Forceps — 2.2 mm, 160 cm, spiked, 40",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,801,PRD-9DA17FB213,MFR-2760A3270C,Cook Medical,G47687,"Captura Pro Pulmonary Biopsy Forceps — 2.2 mm, 160 cm, nonspiked, 20",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,802,PRD-DFD79119A6,MFR-2760A3270C,Cook Medical,G47688,"Captura Pro Pulmonary Biopsy Forceps — 2.2 mm, 160 cm, nonspiked, 40",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,803,PRD-7B34314342,MFR-2760A3270C,Cook Medical,G47689,"Captura Pro Pulmonary Biopsy Forceps — 2.2 mm, 160 cm, spiked, 20",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,804,PRD-94D3933795,MFR-2760A3270C,Cook Medical,G56992,"Captura Pro Pulmonary Biopsy Forceps — 2.8 mm, 160 cm, nonspiked, 20",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,805,PRD-C43AE95696,MFR-2760A3270C,Cook Medical,G56993,"Captura Pro Pulmonary Biopsy Forceps — 2.8 mm, 160 cm, nonspiked, 40",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,806,PRD-A4DEDCB630,MFR-2760A3270C,Cook Medical,G56994,"Captura Pro Pulmonary Biopsy Forceps — 2.8 mm, 160 cm, spiked, 20",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,807,PRD-2BEB2A325B,MFR-2760A3270C,Cook Medical,G56995,"Captura Pro Pulmonary Biopsy Forceps — 2.8 mm, 160 cm, spiked, 40",,Sampling,Pulmonary biopsy forceps,,BIOPSY_FORCEPS_FLEX,verified_source,hidden,SRC078: Document p. not stated (PDF page 2),Paired BF reference part number is the same product and is classified as duplicate_source_row; other Captura SKUs differ by cup/shaft/type,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,816,PRD-6B46EA332F,MFR-2760A3270C,Cook Medical,G55722,Fuhrman Pleural/Pneumopericardial Drainage Set — 7 Fr,,Pleural procedures,Small-bore pleural drainage set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC079: Document p. 9/18 (PDF page 9),Paired C-PPD/C-PPDY reference number is the same configuration; existing Fuhrman SKUs differ by size/length/components,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,817,PRD-805A7C312F,MFR-2760A3270C,Cook Medical,G55724,"Fuhrman Pleural/Pneumopericardial Drainage Set — 8.5 Fr, 15 cm",,Pleural procedures,Small-bore pleural drainage set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC079: Document p. 11/18 (PDF page 11),Paired C-PPD/C-PPDY reference number is the same configuration; existing Fuhrman SKUs differ by size/length/components,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,818,PRD-B8277C7991,MFR-2760A3270C,Cook Medical,G55726,"Fuhrman Pleural/Pneumopericardial Drainage Set — 10.2 Fr, 25 cm",,Pleural procedures,Small-bore pleural drainage set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC079: Document p. 13/18 (PDF page 13),Paired C-PPD/C-PPDY reference number is the same configuration; existing Fuhrman SKUs differ by size/length/components,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,825,PRD-3355DFC82B,MFR-2760A3270C,Cook Medical,G55715,Fuhrman Pleural/Pneumopericardial Drainage Set — 8.5 Fr,,Pleural procedures,Small-bore pleural drainage set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC079: Document p. 5/18 (PDF page 5),Paired C-PPD/C-PPDY reference number is the same configuration; existing Fuhrman SKUs differ by size/length/components,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B03-cook-medical,Cook Medical,31,828,PRD-0A33F2E846,MFR-2760A3270C,Cook Medical,G55727,Fuhrman Pleural/Pneumopericardial Drainage Set — 12 Fr,,Pleural procedures,Small-bore pleural drainage set,,CHEST_TUBE_SMALL_BORE,verified_source,hidden,SRC079: Document p. 7/18 (PDF page 7),Paired C-PPD/C-PPDY reference number is the same configuration; existing Fuhrman SKUs differ by size/length/components,No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B04-efer,EFER,54,846,PRD-AACAFBB1E3,MFR-32A7012B17,EFER,BPS2001,"Biopsy forceps, 1.5 mm shaft, 60 cm",,Rigid bronchoscopy,Rigid bronchoscopy forceps/instrument,,RIGID_FORCEPS,verified_source,hidden,SRC080: Document p. 4 (PDF page 3),"No matching EFER catalog number; existing EFER BB2401-3, BD2410-3, and BX-5500-FA are distinct components",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B04-efer,EFER,54,847,PRD-0A907A3C1A,MFR-32A7012B17,EFER,BKE3020,Standard pediatric bronchoscope kit with BX3000 endoscope and BKF3200 forceps kit,,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,,RIGID_BRONCHOSCOPE_ACCESSORY,verified_source,hidden,SRC080: Document p. 11 (PDF page 7),"No matching EFER catalog number; existing EFER BB2401-3, BD2410-3, and BX-5500-FA are distinct components",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B04-efer,EFER,54,848,PRD-A2AFB61CA7,MFR-32A7012B17,EFER,BKP3040,Adult stent placement kit with double-action loader and optical forceps kit,,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,,RIGID_BRONCHOSCOPE_ACCESSORY,verified_source,hidden,SRC080: Document p. 10 (PDF page 6),"No matching EFER catalog number; existing EFER BB2401-3, BD2410-3, and BX-5500-FA are distinct components",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B04-efer,EFER,54,849,PRD-8551E04A9E,MFR-32A7012B17,EFER,BS2315-3,"Silicone cap, 25 mm, for black tube, blue coded",,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,,RIGID_BRONCHOSCOPE_ACCESSORY,verified_source,hidden,SRC080: Document p. 8 (PDF page 5),"No matching EFER catalog number; existing EFER BB2401-3, BD2410-3, and BX-5500-FA are distinct components",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
B04-efer,EFER,54,850,PRD-0268D7E030,MFR-32A7012B17,EFER,BS2302-3,"Silicone cap, 25 mm, for 4 mm endoscope, green coded",,Rigid bronchoscopy,Rigid bronchoscope or stent-placement accessory,,RIGID_BRONCHOSCOPE_ACCESSORY,verified_source,hidden,SRC080: Document p. 8 (PDF page 5),"No matching EFER catalog number; existing EFER BB2401-3, BD2410-3, and BX-5500-FA are distinct components",No same-manufacturer exact catalog-number match; related products are distinct orderable configurations.
