product_id,manufacturer,product_name,catalog_number,model_number,research_state,confidence,identity_match_method,rationale,official_fda_evidence_summary,official_manufacturer_evidence_summary,official_fda_safety_action_summary,safety_search_status,safety_action_state,safety_action_scope,safety_action_references,visibility_review_eligibility,conflicts,source_links,proposed_human_review_disposition,reviewer_decision,reviewer_rationale,second_review_required,second_review_decision,second_review_rationale,canonical_change_applied
PRD-18D62EB4E8,Richard Wolf,"Fiber Light Cable Bundle, 2.5 mm x 2.3 m",806625231,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_non_us. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: current_non_us; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.richard-wolf.com/mam/data/Typo3/Kataloge/Broncho-_Thorako-_Mediastinoskopie/Thorakale_Endoskopie_en.pdf|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22806625231%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22806625231%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-19DEF7AEC5,FUJIFILM SonoSite,SonoSite L15-4 Transducer,L15-4,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: not_searched. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,Safety search: not_searched; action state: unknown; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,not_searched,unknown,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://www.sonosite.com/sites/default/files/Sonosite_LX_product_brochure_MKT03597_US_rev_C.pdf|https://www.sonosite.com/products/sonosite-px|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22L15-4%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-1A152615A0,VisionAir Solutions,Patient-Specific Airway Stent Design and Manufacturing Service,CUSTOM-SERVICE,,not_applicable_noncommercial_or_local,high,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: not_searched. The catalog row is explicitly a service or local/noncommercial concept rather than a national commercial SKU.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://api.fda.gov/device/enforcement.json?search=product_description%3A%22CUSTOM-SERVICE%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22CUSTOM-SERVICE%22&limit=100,review_as_noncommercial_or_local,pending,,true,,,false
PRD-1CCEDCCC76,Cook Medical,Simple Pneumothorax Aspiration Accessory Set,G05297,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact product identity remains ambiguous.|The candidate company is outside the reviewed manufacturer alias group.,https://www.cookmedical.com/products/cc_utpt_webds/|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22G05297%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200827002052970%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22G05297%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200827002052970%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22G05297%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200827002052970%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-1D87D6EA1E,Teleflex,Arrow Percutaneous Cavity Drainage Kit – Curved,AK-01600,,identity_unresolved,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: no_result. Plausible records could not be tied conservatively to the exact catalog product.,UDI: conflicting_exact_configuration_statuses; listing: exact_current_listing; authorization: exact_510k_clearance.,Manufacturer finding: no_result; exact source: false.,"Safety search: searched; action state: active_exact_product_action; scope: lot_specific; review eligibility: not_applicable. Z-2382-2026 (event 98793, Class I, status Ongoing / Open, Classified, initiated 2026-04-21, matched 50801902120156/AK-01600, reported by device_enforcement and device_recall). A safety action is not discontinuation evidence.",searched,active_exact_product_action,lot_specific,Z-2382-2026 (event 98793),not_applicable,A candidate record has a different model or configuration.|Exact base/package configurations carry mixed distribution states.|Exact product identity remains ambiguous.|Official distribution or listing states conflict.,https://teleflex.com/usa/en/product-areas/interventional/drainage/arrow-diagnostic-drainage-products/MC-006078_Interventional_DND_Product_Line_Brochure_Final.pdf|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22AK-01600%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22AK-01600%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2220801902120155%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22AK-01600%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%22AK-01600%22&limit=100|https://api.fda.gov/device/510k.json?search=k_number%3A%22K895516%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22GBX%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=k_number%3A%22K895516%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220801902120155%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2250801902120156%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2260801902120153%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2230801902120152%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200801902004819%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210801902120158%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2230801902004810%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22AK-01600%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2240801902120159%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2260801902120153%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22AK-01600%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210801902120158%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2230801902004810%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2250801902120156%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2240801902120159%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200801902004819%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2230801902120152%22&limit=100|https://api.fda.gov/device/recall.json?search=k_numbers%3A%22K895516%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220801902120155%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-1F48992C6C,Cardinal Health,"Argyle PVC Thoracic Catheter – Straight, 20 Fr × 20 in",8888570523,,insufficient_evidence,low,exact_manufacturer_catalog_number,Identity method: exact_manufacturer_catalog_number. UDI assessment: all_exact_configurations_ended. Manufacturer finding: not_searched. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: all_exact_configurations_ended; listing: search_incomplete; authorization: premarket_exempt.,Manufacturer finding: not_searched; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=catalog_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%228888570523%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22JOL%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2220884521050836%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521149437%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%228888570523%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200884521060831%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2220884521050836%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2210884521050839%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%228888570523%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521149437%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200884521060831%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-2A9D06CF51,Verathon,GlideScope Video Monitor,GlideScope Video Monitor,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: family_or_ambiguous_action; scope: family_level; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,family_or_ambiguous_action,family_level,,not_applicable,,https://www.verathon.com/single-use-bronchoscopes|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200879123003331%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22GLIDESCOPE+VIDEO+MONITOR%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200879123003331%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22GLIDESCOPE+VIDEO+MONITOR%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200879123003331%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-2B5C4C6CB3,Verathon,BFlex 2 Ultraslim 2.8 Single-Use Bronchoscope,BFlex 2 Ultraslim 2.8,,identity_unresolved,low,family_or_name_only,Identity method: family_or_name_only. UDI assessment: no_exact_result. Manufacturer finding: family_only_current. Plausible records could not be tied conservatively to the exact catalog product.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://www.verathon.com/single-use-bronchoscopes|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2200879123008541%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22BFLEX+2+ULTRASLIM+2.8%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2200879123008541%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2200879123008541%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22BFLEX+2+ULTRASLIM+2.8%22&limit=100,keep_hidden_identity_unresolved,pending,,false,,,false
PRD-2B8AACAB67,Olympus,EVIS EUS Endoscopic Ultrasound Center EU-ME3,EU-ME3,,insufficient_evidence,low,none,Identity method: none. UDI assessment: no_exact_result. Manufacturer finding: current_exact_official_us_product. Completed or permitted searches did not establish enough exact current-status evidence; no result is not a discontinuation finding.,UDI: no_exact_result; listing: no_result; authorization: not_found.,Manufacturer finding: current_exact_official_us_product; exact source: true.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22EU-ME3%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22EU-ME3%22&limit=100,keep_hidden_insufficient_evidence,pending,,false,,,false
PRD-2C4537F4D4,Olympus,Peripheral Biopsy Forceps,FB-433D,,current_status_conflicted,moderate,exact_manufacturer_model_number,"Identity method: exact_manufacturer_model_number. UDI assessment: conflicting_exact_configuration_statuses. Manufacturer finding: family_only_current. Conflicting package, distribution, identity, or source evidence prevents a current-status conclusion.",UDI: conflicting_exact_configuration_statuses; listing: search_incomplete; authorization: not_found.,Manufacturer finding: family_only_current; exact source: false.,Safety search: searched; action state: no_exact_action_found; scope: unknown; review eligibility: not_applicable. No exact-product FDA safety action matched this identity.,searched,no_exact_action_found,unknown,,not_applicable,Exact base/package configurations carry mixed distribution states.|Official distribution or listing states conflict.,https://medical.olympusamerica.com/procedure/peripheral-bronchoscopy-radial-ebus|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/udi.json?search=version_or_model_number%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/udi.json?search=identifiers.id%3A%2204953170401954%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/classification.json?search=product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOB%22&limit=100|https://api.fda.gov/device/registrationlisting.json?search=products.product_code%3A%22EOQ%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2214953170401951%22&limit=100|https://api.fda.gov/device/enforcement.json?search=product_description%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170401954%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2204953170394539%22&limit=100|https://api.fda.gov/device/enforcement.json?search=code_info%3A%2214953170394536%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170394539%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2214953170394536%22&limit=100|https://api.fda.gov/device/recall.json?search=product_description%3A%22FB-433D%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2214953170401951%22&limit=100|https://api.fda.gov/device/recall.json?search=code_info%3A%2204953170401954%22&limit=100,keep_hidden_conflicting,pending,,false,,,false
