rule_id,source_product_or_role,relationship,target_product_or_role,rule_text,verification_status,source_id
CMP-F986476A86,NA-201SX-4022-C,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-76DD306648,NA-U401SX-4021-A,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-5CED8FB51A,NA-U401SX-4022-A,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-57F7120F64,NA-U401SX-4022-C,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-64F822D006,NA-U401SX-4025N,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
CMP-B6A9266B6B,NA-U403SX-4019,uses accessory,MAJ-1414,Olympus catalog lists MAJ-1414 adapter/biopsy valve for this ViziShot needle family.,Verified - manufacturer catalog,SRC012
RULE-5344B40FFF,PRD-0790420A76,not compatible with,BF-MP190F,The GuideSheath is not compatible with BF-MP190F.,Verified - manufacturer catalog and flyer,SRC029
RULE-CF9D2B47C0,PRD-0E088FC681,compatible with,Aspira IPC,Use only with approved Aspira catheter valve/system components per IFU.,Verified - manufacturer catalog and IFU,SRC025
RULE-E9B402E86B,PRD-10959CEA29,compatible with,Aspira IPC,Use only with approved Aspira catheter valve/system components per IFU.,Verified - manufacturer catalog and IFU,SRC025
RULE-97EA51F06C,PRD-19AC7F0794,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Pentax EBUS scope with Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-4616EF138F,PRD-22A349ADEC,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-AB5AD42944,PRD-2C648B78A4,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-C464BAB756,PRD-2D0C9B936A,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Pentax EBUS scope with Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-3BBEB51543,PRD-2DA93F54B9,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Olympus EBUS scope with non-Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-2B1EA519AE,PRD-2E043ED827,compatible with,GUIDE_SHEATH_KIT,Compatible with K-403; K-404; minimum working channel 2.0 mm.,Verified - manufacturer flyer; current U.S. status pending,SRC029
RULE-3FEADE8E6C,PRD-2E043ED827,compatible with,GUIDE_SHEATH_KIT,Compatible with K-403 or K-404.,Verified - manufacturer flyer; current U.S. status pending,SRC029
RULE-5C9B183826,PRD-2E043ED827,requires,RADIAL_EBUS_DRIVE_UNIT,Requires a compatible mechanical probe drive unit; minimum working channel 2.0 mm.,Verified - manufacturer flyer; current U.S. status pending,SRC029
RULE-A3E5868A02,PRD-3F51C7D66F,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Pentax EBUS scope with Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-B322B6FA2D,PRD-448C184685,requires,FLEX_SCOPE_DIAGNOSTIC,Bronchoscope OD must be ≤ 4.2 mm and ETT ID must be ≥ 7 mm.,Verified - manufacturer brochure; current market status pending,SRC023
RULE-6BDE2819F9,PRD-5C99BF6AB0,compatible with,Aspira IPC,Use only with approved Aspira catheter valve/system components per IFU.,Verified - manufacturer catalog and IFU,SRC025
RULE-D74D20F4CD,PRD-5CC8131FDE,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Olympus EBUS scope with non-Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-541C89AE7A,PRD-60C171D0E6,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-F7180440EF,PRD-6CF2953F5E,requires,FLEX_SCOPE_DIAGNOSTIC,Bronchoscope OD must be ≤ 2.8 mm and ETT ID must be ≥ 4.5 mm.,Verified - manufacturer brochure; current market status pending,SRC023
RULE-BBE709CE49,PRD-6D7A0E9DA8,not compatible with,BF-MP190F,The GuideSheath is not compatible with BF-MP190F.,Verified - manufacturer catalog and flyer,SRC029
RULE-1CC64E5F41,PRD-6F8A951376,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-04C5B71790,PRD-6FF6668D03,not compatible with,BF-MP190F,The GuideSheath is not compatible with BF-MP190F.,Verified - manufacturer catalog and flyer,SRC029
RULE-0673A3B60C,PRD-77C1FEFC4F,compatible with,Aspira IPC,Use only with approved Aspira catheter valve/system components per IFU.,Verified - manufacturer catalog and IFU,SRC025
RULE-26BEDB89D5,PRD-85248E91BA,requires,FLEX_SCOPE_DIAGNOSTIC,Bronchoscope OD must be ≤ 4.2 mm and ETT ID must be ≥ 7.5 mm.,Verified - manufacturer brochure; current market status pending,SRC023
RULE-E262211B9B,PRD-86388D0916,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Olympus EBUS scope with non-Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-A2C900E1AB,PRD-9FFD95C095,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-21D7AFFDBB,PRD-A5F6B25BCB,compatible with,Aspira IPC,Use only with approved Aspira catheter valve/system components per IFU.,Verified - manufacturer catalog and IFU,SRC025
RULE-ED8AEAB4CC,PRD-A8F80E7C94,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-6D8FEF80AF,PRD-BACF8FDE9B,compatible with,Rocket IPC,Use with Rocket IPC valve/locking system and approved accessories.,Verified - U.S. manufacturer brochure,SRC026
RULE-3520D6D8E7,PRD-C41140BA51,requires,FLEX_SCOPE_DIAGNOSTIC,Bronchoscope OD must be ≤ 3.6 mm and ETT ID must be ≥ 6 mm.,Verified - manufacturer brochure; current market status pending,SRC023
RULE-092FCBD9DD,PRD-CC55BDA6C8,compatible with,Aspira IPC,Use only with approved Aspira catheter valve/system components per IFU.,Verified - manufacturer catalog and IFU,SRC025
RULE-68EBBEFDE8,PRD-DF5BFBB99D,compatible with,GUIDE_SHEATH_KIT,Compatible with K-401; K-402; minimum working channel 1.7 mm.,Verified - manufacturer flyer; current U.S. status pending,SRC029
RULE-FA137993C7,PRD-DF5BFBB99D,compatible with,GUIDE_SHEATH_KIT,Compatible with K-401 or K-402.,Verified - manufacturer flyer; current U.S. status pending,SRC029
RULE-EF42143088,PRD-DF5BFBB99D,requires,RADIAL_EBUS_DRIVE_UNIT,Requires a compatible mechanical probe drive unit; minimum working channel 1.7 mm.,Verified - manufacturer flyer; current U.S. status pending,SRC029
RULE-774756609E,PRD-E2EB4E573F,not compatible with,BF-MP190F,The GuideSheath is not compatible with BF-MP190F.,Verified - manufacturer catalog and flyer,SRC029
RULE-4E3FFA7BA5,PRD-F3307DB1D4,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Olympus EBUS scope with non-Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-C3FACFBEA9,PRD-F82300D570,compatible with,EBUS_SCOPE,Minimum working channel 2.0 mm; Pentax EBUS scope with Luer metal hub.,Verified - current manufacturer brochure,SRC024
RULE-BA6298EF7D,RADIAL_EBUS_PROBE,requires,RADIAL_EBUS_DRIVE_UNIT,Mechanical radial EBUS probes require compatible drive unit and ultrasound processor.,Verified - manufacturer flyer,SRC029
RULE-8C33F64955,RIGID_TELESCOPE,requires,RIGID_BRONCHOSCOPE_BARREL,Telescope OD/length and adapter must match the selected rigid barrel.,Source-backed platform rule,SRC021
CMP-EE13944A48,ROTEPS 2 mm handle/shaft,accepts heads,02BRT30294/295/296/299,Catalog defines 3 mm heads for 2 mm shaft.,Verified - manufacturer catalog,SRC001
CMP-B79D79A048,ROTEPS 4 mm handle/shaft,accepts heads,02BRT30497/498/499,Catalog defines 5 mm heads for 4 mm shaft.,Verified - manufacturer catalog,SRC001
CMP-4154E59B09,SVS-V5-00,deployed with,SVS-C26N-06,Olympus catalog lists the Spiration valve cartridges and SVS-C26N-06 deployment system together.,Verified - manufacturer catalog,SRC012
CMP-A3865F0EC7,SVS-V6-00,deployed with,SVS-C26N-06,Olympus catalog lists the Spiration valve cartridges and SVS-C26N-06 deployment system together.,Verified - manufacturer catalog,SRC012
CMP-A2E333ECA8,SVS-V7-00,deployed with,SVS-C26N-06,Olympus catalog lists the Spiration valve cartridges and SVS-C26N-06 deployment system together.,Verified - manufacturer catalog,SRC012
CMP-C58B5731A2,SVS-V9-00,deployed with,SVS-C26N-06,Olympus catalog lists the Spiration valve cartridges and SVS-C26N-06 deployment system together.,Verified - manufacturer catalog,SRC012
CMP-3DDADBC1A7,SVS-VSK-KIT,contains/uses,B5-2C,Olympus catalog lists B5-2C as the sizing balloon catheter in the Spiration sizing kit.,Verified - manufacturer catalog,SRC012
CMP-32C5A7680E,SYS-5100,mounts on,SYS-5150,Olympus catalog lists the SPiN Vision video cart with the processor platform.,Verified - manufacturer catalog,SRC012
RULE-0985D460F3,THORACOSCOPY_TELESCOPE,requires,PLEUROSCOPY_TROCAR,Trocar capacity must exceed the selected telescope/instrument outer diameter.,Source-backed platform rule,SRC021
CMP-C2B221D72D,TONN NOVATECH,deploys product role,AIRWAY_STENT_SILICONE_STRAIGHT,Catalog states TONN applicator is designed for DUMON tracheobronchial silicone stents. Exact size matrix requires table/IFU.,Verified general; exact size matrix pending,SRC001
CMP-ECB5616603,Ultraflex,uses product,M00515171,Ultraflex catalog recommends the 0.035 in Jagwire pulmonary guidewire.,Verified - manufacturer catalog,SRC003
CMP-15FF3D4286,Ultraflex,uses product,M00515171,Boston Scientific manufacturer information recommends a 0.035-inch pulmonary Jagwire for Ultraflex placement.,Verified - manufacturer source,SRC015
