product_id,manufacturer_id,manufacturer,distributor,brand_family,product_name,catalog_number,global_part_number,reference_part_number,alternate_ids,gtin,primary_category,subcategory,product_kind,reuse_status,sterile_status,implantable,material,coverage,placement_method,size_display,diameter_mm,length_mm,french_size,gauge,working_length_cm,min_working_channel_mm,delivery_system_od_mm,package_uom,adult_peds,description,compatibility_text,verification_status,live_dropdown_status,primary_source_id,primary_source_location,source_as_of,availability_note,notes,spec_json
PRD-8A08163BA1,MFR-42F5245630,Boston Scientific,,Alliance II,Alliance II Single-Use Syringe/Gauge Assembly,M00550601,,,,08714729129332,Airway dilation,Inflation accessory,Disposable,Single-use,,,,,,,,,,,,,,Box 5,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,{}
PRD-5F801B5A8E,MFR-42F5245630,Boston Scientific,,Amplatz Super Stiff,Amplatz Super Stiff Guidewire,M00550090,,,,08714729301929,Guidewire,Guidewire,Disposable,Single-use,Sterile,,,,,"0.038 in x 260 mm, straight tip",,260,,,,,,Each,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 13,2022,,,"{""od_in"":0.038,""tip_style"":""Straight""}"
PRD-2F3F39DBA3,MFR-42F5245630,Boston Scientific,,Cellebrity,Cellebrity Single-Use Cytology Brush,M00516001,,,,08714729138983,Sampling,Cytology brush,Disposable,Single-use,Sterile,,,,,,,,,,140,2.0,,Box 10,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 7,2022,,,"{""bristle_od_mm"":1.0}"
PRD-81331808E3,MFR-42F5245630,Boston Scientific,,Cellebrity,Cellebrity Single-Use Cytology Brush,M00516011,,,,08714729138990,Sampling,Cytology brush,Disposable,Single-use,Sterile,,,,,,,,,,140,2.0,,Box 10,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 7,2022,,,"{""bristle_od_mm"":1.5}"
PRD-1239820D80,MFR-42F5245630,Boston Scientific,,Cellebrity,Cellebrity Single-Use Cytology Brush,M00516071,,,,08714729139089,Sampling,Cytology brush,Disposable,Single-use,Sterile,,,,,,,,,,100,2.0,,Box 10,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 7,2022,,,"{""bristle_od_mm"":1.9}"
PRD-251B275384,MFR-42F5245630,Boston Scientific,,Cellebrity,Cellebrity Single-Use Cytology Brush,M00516151,,,,08714729014003,Sampling,Cytology brush,Disposable,Single-use,Sterile,,,,,,,,,,150,2.0,,Box 10,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 7,2022,,,"{""bristle_od_mm"":1.9}"
PRD-C2875D269C,MFR-42F5245630,Boston Scientific,,CoreDx,CoreDx Pulmonary Mini-Forceps,M00515220,,,,08714729971054,Sampling,EBUS mini-forceps,Disposable,Single-use,Sterile,,,,,,,,,,130,1.2,,Each,,Pulmonary mini-forceps for intranodal histologic sampling.,"Catalog states compatibility with Olympus, Pentax, and Fuji EBUS scopes and 1.2 mm-channel super-slim bronchoscopes.",Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 5,2022,,,"{""shaft_od_mm"":0.96,""jaw_opening_mm"":4.3}"
PRD-94E33ED243,MFR-42F5245630,Boston Scientific,,CRE,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550300,,,,08714729456186,Airway dilation,Balloon dilator,Disposable catheter,Single-use,Sterile,,,,,,12,,,,110,,,Each,,12 mm at 3 atm; 13.5 @ 4.5 atm; 15 @ 8 atm.,0.035 in guidewire compatible; compatible with Alliance II or CRE SteriFlate inflation devices.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,"{""diameter_at_3_atm_mm"":12,""intermediate_diameter_pressure"":""13.5 @ 4.5 atm"",""max_diameter_pressure"":""15 @ 8 atm"",""balloon_length_cm"":5.5,""guidewire_in"":0.035}"
PRD-B8BB774CB6,MFR-42F5245630,Boston Scientific,,CRE,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550310,,,,08714729456193,Airway dilation,Balloon dilator,Disposable catheter,Single-use,Sterile,,,,,,15,,,,110,,,Each,,15 mm at 3 atm; 16.5 @ 4.5 atm; 18 @ 7 atm.,0.035 in guidewire compatible; compatible with Alliance II or CRE SteriFlate inflation devices.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,"{""diameter_at_3_atm_mm"":15,""intermediate_diameter_pressure"":""16.5 @ 4.5 atm"",""max_diameter_pressure"":""18 @ 7 atm"",""balloon_length_cm"":5.5,""guidewire_in"":0.035}"
PRD-BDC093DB61,MFR-42F5245630,Boston Scientific,,CRE,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550320,,,,08714729456209,Airway dilation,Balloon dilator,Disposable catheter,Single-use,Sterile,,,,,,18,,,,110,,,Each,,18 mm at 3 atm; 19 @ 4.5 atm; 20 @ 6 atm.,0.035 in guidewire compatible; compatible with Alliance II or CRE SteriFlate inflation devices.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,"{""diameter_at_3_atm_mm"":18,""intermediate_diameter_pressure"":""19 @ 4.5 atm"",""max_diameter_pressure"":""20 @ 6 atm"",""balloon_length_cm"":5.5,""guidewire_in"":0.035}"
PRD-9E6034F109,MFR-42F5245630,Boston Scientific,,CRE,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550330,,,,08714729456216,Airway dilation,Balloon dilator,Disposable catheter,Single-use,Sterile,,,,,,8,,,,110,,,Each,,8 mm at 3 atm; 9 @ 5.5 atm; 10 @ 9 atm.,0.035 in guidewire compatible; compatible with Alliance II or CRE SteriFlate inflation devices.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,"{""diameter_at_3_atm_mm"":8,""intermediate_diameter_pressure"":""9 @ 5.5 atm"",""max_diameter_pressure"":""10 @ 9 atm"",""balloon_length_cm"":3.0,""guidewire_in"":0.035}"
PRD-2B5132F8C5,MFR-42F5245630,Boston Scientific,,CRE,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550340,,,,08714729456223,Airway dilation,Balloon dilator,Disposable catheter,Single-use,Sterile,,,,,,10,,,,110,,,Each,,10 mm at 3 atm; 11 @ 5 atm; 12 @ 8 atm.,0.035 in guidewire compatible; compatible with Alliance II or CRE SteriFlate inflation devices.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,"{""diameter_at_3_atm_mm"":10,""intermediate_diameter_pressure"":""11 @ 5 atm"",""max_diameter_pressure"":""12 @ 8 atm"",""balloon_length_cm"":3.0,""guidewire_in"":0.035}"
PRD-189E7EF27A,MFR-42F5245630,Boston Scientific,,CRE,CRE Single-Use Pulmonary Balloon Dilatation Catheter,M00550350,,,,08714729456230,Airway dilation,Balloon dilator,Disposable catheter,Single-use,Sterile,,,,,,12,,,,110,,,Each,,12 mm at 3 atm; 13.5 @ 4.5 atm; 15 @ 8 atm.,0.035 in guidewire compatible; compatible with Alliance II or CRE SteriFlate inflation devices.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,"{""diameter_at_3_atm_mm"":12,""intermediate_diameter_pressure"":""13.5 @ 4.5 atm"",""max_diameter_pressure"":""15 @ 8 atm"",""balloon_length_cm"":3.0,""guidewire_in"":0.035}"
PRD-61915862CE,MFR-42F5245630,Boston Scientific,,CRE SteriFlate,CRE SteriFlate Disposable Inflation Device,M00550630,,,,00856877002506,Airway dilation,Inflation device,Disposable,Single-use,,,,,,,,,,,,,,Each,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 12,2022,,,{}
PRD-27506A7423,MFR-42F5245630,Boston Scientific,,EXALT,EXALT Model B Large,M00542751,,,,,Bronchoscopy platform,,Candidate,,,,,,,,,,,,,,,,,"Seed states 5.8 mm OD, 2.6 mm channel.",,Candidate - user seed; primary source required,Hidden until verified,SRC007,Flexible bronchoscopy platforms!12,,,,{}
PRD-BF2B39F2F3,MFR-42F5245630,Boston Scientific,,EXALT,EXALT Model B Regular,M00542731,,,,,Bronchoscopy platform,,Candidate,,,,,,,,,,,,,,,,,"Seed states 5.0 mm OD, 2.0 mm channel.",,Candidate - user seed; primary source required,Hidden until verified,SRC007,Flexible bronchoscopy platforms!11,,,,{}
PRD-972FD7E1D0,MFR-42F5245630,Boston Scientific,,EXALT,EXALT Model B Slim,M00542711,,,,,Bronchoscopy platform,,Candidate,,,,,,,,,,,,,,,,,"Seed states 3.8 mm OD, 1.0 mm channel, DLT 35 Fr.",,Candidate - user seed; primary source required,Hidden until verified,SRC007,Flexible bronchoscopy platforms!10,,,,{}
PRD-E803315936,MFR-42F5245630,Boston Scientific,,eXcelon,eXcelon Single-Use Transbronchial Aspiration Needle,M00564101,,,,08714729456452,Sampling,Conventional TBNA needle,Disposable,Single-use,Sterile,,,,,,,,,19G,130,1.8,,Box 5,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 8,2022,,,"{""needle_length_mm"":15,""sheath_od_mm"":1.8}"
PRD-152A0BFA3B,MFR-42F5245630,Boston Scientific,,eXcelon,eXcelon Single-Use Transbronchial Aspiration Needle,M00564111,,,,08714729456469,Sampling,Conventional TBNA needle,Disposable,Single-use,Sterile,,,,,,,,,20G,130,1.8,,Box 5,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 8,2022,,,"{""needle_length_mm"":15,""sheath_od_mm"":1.8}"
PRD-F408B46806,MFR-42F5245630,Boston Scientific,,eXcelon,eXcelon Single-Use Transbronchial Aspiration Needle,M00564121,,,,08714729456476,Sampling,Conventional TBNA needle,Disposable,Single-use,Sterile,,,,,,,,,21G,130,1.8,,Box 5,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 8,2022,,,"{""needle_length_mm"":15,""sheath_od_mm"":1.8}"
PRD-2302DA77DA,MFR-42F5245630,Boston Scientific,,Expect Pulmonary,Expect Pulmonary EBUS-TBNA Needle,M00558220,,,,08714729861409,Sampling,EBUS FNA needle,Disposable,Single-use,Sterile,,,,,,,,,22G,,2.0,,Each,,Olympus-scope-compatible EBUS-TBNA needle.,Olympus EBUS scopes; verify exact model and adapter in current IFU.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 3,2022,,,"{""sheath_od_mm"":1.6}"
PRD-73BBBA8747,MFR-42F5245630,Boston Scientific,,Expect Pulmonary,Expect Pulmonary EBUS-TBNA Needle,M00558221,,,,08714729861430,Sampling,EBUS FNA needle,Disposable,Single-use,Sterile,,,,,,,,,22G,,2.0,,Box 5,,Olympus-scope-compatible EBUS-TBNA needle.,Olympus EBUS scopes; verify exact model and adapter in current IFU.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 3,2022,,,"{""sheath_od_mm"":1.6}"
PRD-DF30B54282,MFR-42F5245630,Boston Scientific,,Expect Pulmonary,Expect Pulmonary EBUS-TBNA Needle,M00558250,,,,08714729861416,Sampling,EBUS FNA needle,Disposable,Single-use,Sterile,,,,,,,,,25G,,2.0,,Each,,Olympus-scope-compatible EBUS-TBNA needle.,Olympus EBUS scopes; verify exact model and adapter in current IFU.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 3,2022,,,"{""sheath_od_mm"":1.4}"
PRD-5CBD1FD1E3,MFR-42F5245630,Boston Scientific,,Expect Pulmonary,Expect Pulmonary EBUS-TBNA Needle,M00558251,,,,08714729861447,Sampling,EBUS FNA needle,Disposable,Single-use,Sterile,,,,,,,,,25G,,2.0,,Box 5,,Olympus-scope-compatible EBUS-TBNA needle.,Olympus EBUS scopes; verify exact model and adapter in current IFU.,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 3,2022,,,"{""sheath_od_mm"":1.4}"
PRD-F2007DBCC0,MFR-42F5245630,Boston Scientific,,Expect Pulmonary,Expect Pulmonary Needle Adapter - Olympus Scope Compatible,M00558731,,,,08714729893189,Sampling accessory,EBUS needle adapter,Disposable accessory,Single-use,,,,,,,,,,,,,,Box 10,,Needle adapter for Olympus-scope-compatible Expect/Acquire pulmonary needles.,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 3,2022,,,{}
PRD-602AA2F147,MFR-42F5245630,Boston Scientific,,Jagwire,Jagwire Single-Use Pulmonary Guidewire,M00515171,,,,08714729455813,Guidewire,Pulmonary guidewire,Disposable,Single-use,Sterile,,,,,0.035 in x 180 cm,,,,,180,,,Box 2,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 13,2022,,,"{""od_in"":0.035}"
PRD-3ED9411F2F,MFR-42F5245630,Boston Scientific,,Pulmonary Compliance BronchKit,Pulmonary Compliance BronchKit Premium,CBK-882-20,,,,,Reprocessing,Bronchoscope pre-cleaning/transport kit,Disposable kit,Single-use,,,,,,,,,,,,,,Kit,,Standard components plus gown and suction tubing.,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 11,2022,,,{}
PRD-2F7DDD739E,MFR-42F5245630,Boston Scientific,,Pulmonary Compliance BronchKit,Pulmonary Compliance BronchKit Standard,CBK-881-20,,,,,Reprocessing,Bronchoscope pre-cleaning/transport kit,Disposable kit,Single-use,,,,,,,,,,,,,,Kit,,"Includes transport pad, gauze, bedside cleaning kit, biohazard label, cleaning brush, and 20 mL syringe.",,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 11,2022,,,{}
PRD-8DDD9F07C0,MFR-42F5245630,Boston Scientific,,Radial Jaw 4,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515181,,,,08714729792864,Sampling,Biopsy forceps,Disposable,Single-use,Sterile,,,,,,,,,,100,2.0,,Box 5,,Standard capacity,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 6,2022,,,"{""jaw_od_mm"":1.8,""jaw_differentiator"":""Standard capacity""}"
PRD-72889F9CE3,MFR-42F5245630,Boston Scientific,,Radial Jaw 4,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515182,,,,08714729799337,Sampling,Biopsy forceps,Disposable,Single-use,Sterile,,,,,,,,,,100,2.0,,Box 20,,Standard capacity,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 6,2022,,,"{""jaw_od_mm"":1.8,""jaw_differentiator"":""Standard capacity""}"
PRD-BF2EC6AB5E,MFR-42F5245630,Boston Scientific,,Radial Jaw 4,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515191,,,,08714729792871,Sampling,Biopsy forceps,Disposable,Single-use,Sterile,,,,,,,,,,100,2.0,,Box 5,,Standard capacity with needle,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 6,2022,,,"{""jaw_od_mm"":1.8,""jaw_differentiator"":""Standard capacity with needle""}"
PRD-27BF9F087E,MFR-42F5245630,Boston Scientific,,Radial Jaw 4,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515192,,,,08714729818083,Sampling,Biopsy forceps,Disposable,Single-use,Sterile,,,,,,,,,,100,2.0,,Box 20,,Standard capacity with needle,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 6,2022,,,"{""jaw_od_mm"":1.8,""jaw_differentiator"":""Standard capacity with needle""}"
PRD-A83C7ADE90,MFR-42F5245630,Boston Scientific,,Radial Jaw 4,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515201,,,,08714729793281,Sampling,Biopsy forceps,Disposable,Single-use,Sterile,,,,,,,,,,100,2.8,,Box 5,,Large capacity,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 6,2022,,,"{""jaw_od_mm"":2.2,""jaw_differentiator"":""Large capacity""}"
PRD-217AB10438,MFR-42F5245630,Boston Scientific,,Radial Jaw 4,Radial Jaw 4 Single-Use Pulmonary Biopsy Forceps,M00515202,,,,08714729818076,Sampling,Biopsy forceps,Disposable,Single-use,Sterile,,,,,,,,,,100,2.8,,Box 20,,Large capacity,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 6,2022,,,"{""jaw_od_mm"":2.2,""jaw_differentiator"":""Large capacity""}"
PRD-9844E2B578,MFR-42F5245630,Boston Scientific,,Rescue,Rescue Pulmonary Grasping Forceps,M00515101,,,,26948318968828,Retrieval,Flexible grasping forceps,Disposable,Single-use,Sterile,,,,,,,,,,120,2.0,,Box 5,,,,Verified - manufacturer catalog,Prototype visible - reverify before production,SRC003,p. 10,2022,,,"{""insertion_portion_od_mm"":1.8,""jaw_opening_width_mm"":4.5}"
PRD-44704ED825,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576520,,,,08714729842323,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,8 mm x 40 mm,8,40,,,,,7,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":25,""tip_max_od_mm"":4.1}"
PRD-63EDA47A7D,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576530,,,,08714729842330,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,10 mm x 30 mm,10,30,,,,,7,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":15,""tip_max_od_mm"":4.1}"
PRD-237B24FE49,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576540,,,,08714729842347,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,10 mm x 40 mm,10,40,,,,,7,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":25,""tip_max_od_mm"":4.1}"
PRD-633391A337,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576550,,,,08714729842354,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,12 mm x 30 mm,12,30,,,,,7,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":15,""tip_max_od_mm"":4.1}"
PRD-05780FEDD7,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576560,,,,08714729842361,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,12 mm x 40 mm,12,40,,,,,7,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":25,""tip_max_od_mm"":4.1}"
PRD-EB0DE6C03A,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576570,,,,08714729842378,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,14 mm x 30 mm,14,30,,,,,9,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":15,""tip_max_od_mm"":4.1}"
PRD-071DA49031,MFR-42F5245630,Boston Scientific,,Ultraflex,Ultraflex Partially Covered Tracheobronchial Stent System,M00576580,,,,08714729842385,Airway stent,Partially covered SEMS,Implant,Single-use,Sterile,Yes,Nitinol with silicone covering,Partially covered,Over-the-wire via flexible or rigid bronchoscopy,14 mm x 40 mm,14,40,,,,,9,Each,,,Catalog lists 0.035 in Jagwire guidewire; verify current IFU.,Verified - current manufacturer page capture,Prototype visible - reverify before production,SRC015,"Ordering information, pp. 2-3",2025-06-26,Manufacturer product page captured 2025-06-26; reverify current commercial availability and IFU before production use.,,"{""cover_length_mm"":25,""tip_max_od_mm"":4.1}"
