slot_id,procedure_code,section,display_order,role_code,slot_label,generic_requirement,requiredness,default_qty,selection_mode,allow_custom,dependency_rule,notes
SLOT-05F71417F2,TB_RULEOUT,Sampling,9,BIOPSY_FORCEPS_FLEX,Biopsy forceps,Single-use or reusable forceps for endobronchial/transbronchial biopsy.,Optional,1,Single,Yes,Additional diagnosis pursued,
SLOT-313877F69F,TB_RULEOUT,Post-procedure,10,BRONCH_REPROCESSING_KIT,Reusable scope pre-cleaning/transport kit,Single-use kit supporting bedside pre-cleaning/transport.,Conditional,1,Single,Yes,Reusable bronchoscope selected,
SLOT-9029673D34,TB_RULEOUT,Sampling,11,BAL_KIT,BAL convenience tubing/kit,Select tubing/anti-reflux kit compatible with airborne-isolation specimen workflow.,Optional,1,Single select,Yes,,
SLOT-34A46FFBA2,FLEX_DIAGNOSTIC,Platform,1,FLEX_SCOPE_DIAGNOSTIC,Diagnostic bronchoscope,Reusable or single-use flexible bronchoscope suitable for diagnostic bronchoscopy.,Required,1,Single,Yes,,
SLOT-6BFE5046B8,FLEX_DIAGNOSTIC,Platform,2,VIDEO_PROCESSOR,Compatible processor/display,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-49853F1B39,FLEX_DIAGNOSTIC,Suction,3,GENERIC_SUCTION,Suction tubing/canister,Generic suction setup.,Required,1,Single,Yes,,
SLOT-F969CF31B0,FLEX_DIAGNOSTIC,Sampling,4,SPECIMEN_TRAP,BAL/wash specimen trap,"Sterile trap for BAL, wash, or secretion collection.",Optional,1,Single,Yes,BAL/wash planned,
SLOT-EFF8BA9B93,FLEX_DIAGNOSTIC,Sampling,5,BIOPSY_FORCEPS_FLEX,Biopsy forceps,Single-use or reusable forceps for endobronchial/transbronchial biopsy.,Optional,1,Single,Yes,Biopsy planned,
SLOT-CD96ECF1DB,FLEX_DIAGNOSTIC,Sampling,6,CYTOLOGY_BRUSH,Cytology brush,Covered or uncovered brush for airway cytology or microbiology.,Optional,1,Single,Yes,Brushing planned,
SLOT-9363E589C4,FLEX_DIAGNOSTIC,Sampling,7,TBNA_NEEDLE,Conventional TBNA needle,Non-EBUS transbronchial aspiration needle.,Optional,1,Single,Yes,TBNA planned,
SLOT-6C8ED671CE,FLEX_DIAGNOSTIC,Sampling,8,GENERIC_SPECIMEN,Specimen containers/labels,"Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,
SLOT-EA38AE186D,FLEX_DIAGNOSTIC,Post-procedure,9,BRONCH_REPROCESSING_KIT,Reusable scope pre-cleaning/transport kit,Single-use kit supporting bedside pre-cleaning/transport.,Conditional,1,Single,Yes,Reusable bronchoscope selected,
SLOT-7BFC6EB54E,FLEX_DIAGNOSTIC,Peripheral biopsy,10,GUIDE_SHEATH_KIT,Peripheral guide-sheath kit,Guide sheath with compatible sampling tools for peripheral lesion biopsy.,Optional,1,Single,Yes,Guide-sheath workflow planned,
SLOT-09EF760638,FLEX_DIAGNOSTIC,Peripheral biopsy,11,GUIDING_DEVICE,Peripheral guiding device,Rotatable/articulating guiding device for peripheral sampling.,Optional,1,Single,Yes,Guiding-device workflow planned,
SLOT-54D7E08779,FLEX_DIAGNOSTIC,Airway protection,12,BITE_BLOCK,Bite block,Single-use or reusable bite block matched to scope diameter.,Conditional,1,Single,Yes,Oral insertion without protected airway,
SLOT-EB37262191,FLEX_DIAGNOSTIC,Post-procedure,13,ENDOSCOPE_CLEANING_BRUSH,Cleaning brush,Scope/channel-specific cleaning brush for reusable equipment.,Conditional,1,Multiple,Yes,Reusable bronchoscope selected,
SLOT-239938A6A9,FLEX_DIAGNOSTIC,Peripheral biopsy,14,RADIAL_EBUS_PROBE,Radial EBUS probe,"Match probe to working channel, guide sheath, drive unit, and ultrasound processor.",Optional,1,Single select,Yes,,
SLOT-C9A4F576D5,FLEX_DIAGNOSTIC,Peripheral biopsy,15,RADIAL_EBUS_DRIVE_UNIT,Radial EBUS probe drive unit,Required when a mechanical radial probe is selected.,Conditional,1,Single select,Yes,Required when RADIAL_EBUS_PROBE is selected,
SLOT-4C2FE905D3,FLEX_DIAGNOSTIC,Sampling,16,BAL_KIT,BAL convenience tubing/kit,Optional tubing/anti-reflux kit for lavage.,Optional,1,Single select,Yes,,
SLOT-4648848CC3,EBUS_TBNA,Platform,1,EBUS_SCOPE,Linear EBUS bronchoscope,Linear ultrasound bronchoscope for EBUS-TBNA/FNB.,Required,1,Single,Yes,,
SLOT-7DFA66EA2D,EBUS_TBNA,Platform,2,VIDEO_PROCESSOR,Compatible video processor/light source,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-92874E31E1,EBUS_TBNA,Platform,3,ULTRASOUND_PROCESSOR,Endoscopic ultrasound processor,Ultrasound console used with the EBUS scope.,Required,1,Single,Yes,,
SLOT-B19121A5B9,EBUS_TBNA,Platform,4,ULTRASOUND_CABLE,Compatible ultrasound cable,Cable linking EBUS scope and ultrasound processor.,Required,1,Single,Yes,,
SLOT-93655BF7C4,EBUS_TBNA,Scope accessory,5,EBUS_BALLOON,EBUS balloon,Distal balloon used for acoustic coupling during EBUS.,Conditional,1,Single,Yes,Balloon method used,
SLOT-1AF4BEFE3B,EBUS_TBNA,Sampling,6,EBUS_NEEDLE_FNA,EBUS-TBNA FNA needle,Needle for EBUS-guided aspiration.,Required,1,Multiple,Yes,,Allow multiple gauges/quantities.
SLOT-B83EBD2FBB,EBUS_TBNA,Sampling,7,EBUS_NEEDLE_FNB,EBUS FNB needle,Core-biopsy needle for EBUS-guided sampling.,Optional,1,Multiple,Yes,Histology/core biopsy desired,
SLOT-D08C74941A,EBUS_TBNA,Sampling,8,EBUS_MINIFORCEPS,Intranodal mini-forceps,Mini-forceps for intranodal histology after EBUS access.,Optional,1,Single,Yes,Miniforceps workflow selected,
SLOT-12ACA27E54,EBUS_TBNA,Sampling,9,GENERIC_SPECIMEN,"Slides, cell-block, formalin/RPMI and labels","Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,Pathology/laboratory-specific.
SLOT-76F4405D68,EBUS_TBNA,Sampling,10,SPECIMEN_TRAP,Airway wash/BAL trap,"Sterile trap for BAL, wash, or secretion collection.",Optional,1,Single,Yes,Concurrent airway sampling,
SLOT-2E3065C976,EBUS_TBNA,Suction,11,GENERIC_SUCTION,Suction source/tubing/syringes,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-CD12842559,EBUS_TBNA,Scope accessory,12,EBUS_NEEDLE_ADAPTER,Needle adapter / biopsy valve,Manufacturer-specific adapter or biopsy valve required by the selected EBUS needle.,Conditional,1,Single,Yes,Selected needle requires an adapter/valve,
SLOT-E8F0B48B49,EBUS_TBNA,Sampling,13,VACUUM_LOCKING_SYRINGE,Vacuum-locking syringe,Match syringe volume and stopcock configuration to selected EBUS needle.,Optional,1,Single select,Yes,,
SLOT-B79D3CF198,THERAPEUTIC_BRONCH,Platform,1,FLEX_SCOPE_THERAPEUTIC,Therapeutic bronchoscope,Flexible bronchoscope with a larger working channel for therapeutic accessories and suction.,Required,1,Single,Yes,,
SLOT-6BCA0B7A49,THERAPEUTIC_BRONCH,Platform,2,VIDEO_PROCESSOR,Compatible processor/light source,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-13609A744F,THERAPEUTIC_BRONCH,Suction,3,GENERIC_SUCTION,High-flow suction tubing/canisters,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-FCE9E3810E,THERAPEUTIC_BRONCH,Energy,4,GENERIC_ENERGY_PLATFORM,Energy/hemostasis platform and probes,"APC, electrocautery, laser, or other energy platform.",Conditional,1,Multiple,Yes,Thermal modality planned,APC/electrocautery/laser must follow local airway-fire policy.
SLOT-14453819D5,THERAPEUTIC_BRONCH,Cryotherapy,5,CRYOPROBE_FLEX,Flexible cryoprobe,"Flexible cryoprobe for cryobiopsy, clot extraction, or therapeutic airway work.",Conditional,1,Multiple,Yes,Cryotherapy/extraction planned,
SLOT-1647A73048,THERAPEUTIC_BRONCH,Retrieval,6,FOREIGN_BODY_FORCEPS_FLEX,Flexible grasping forceps,Flexible forceps for foreign body or tissue retrieval.,Optional,1,Single,Yes,,
SLOT-115310F554,THERAPEUTIC_BRONCH,Retrieval,7,FOREIGN_BODY_BASKET,Retrieval basket/net,Flexible basket or net for foreign body retrieval.,Optional,1,Single,Yes,,
SLOT-3FE6796B6D,THERAPEUTIC_BRONCH,Dilation,8,AIRWAY_BALLOON_DILATOR,Airway balloon dilator,Balloon catheter for airway stricture dilation.,Conditional,1,Single,Yes,Dilation planned,
SLOT-D43C866FB5,THERAPEUTIC_BRONCH,Dilation,9,PULMONARY_GUIDEWIRE,Guidewire,Guidewire used for airway stent or balloon delivery.,Conditional,1,Single,Yes,Guidewire-compatible balloon/stent selected,
SLOT-7412B3318B,THERAPEUTIC_BRONCH,Dilation,10,INFLATION_DEVICE,Inflation device,Reusable or single-use inflation device for balloon dilation.,Conditional,1,Single,Yes,Balloon dilator selected,
SLOT-45D721710F,THERAPEUTIC_BRONCH,Stent,11,AIRWAY_STENT_SEMS_COVERED,Covered metallic airway stent,Self-expanding metallic tracheobronchial stent with covering.,Conditional,1,Single,Yes,Covered SEMS planned,
SLOT-09A64B2C62,THERAPEUTIC_BRONCH,Stent,12,AIRWAY_STENT_SEMS_UNCOVERED,Uncovered metallic airway stent,Uncovered self-expanding metallic tracheobronchial stent.,Conditional,1,Single,Yes,Uncovered SEMS planned,
SLOT-D2974FC11B,THERAPEUTIC_BRONCH,Sampling,13,BIOPSY_FORCEPS_FLEX,Biopsy forceps,Single-use or reusable forceps for endobronchial/transbronchial biopsy.,Optional,1,Single,Yes,,
SLOT-0F8FA96C28,THERAPEUTIC_BRONCH,Sampling,14,GENERIC_SPECIMEN,Specimen containers/labels,"Laboratory containers, labels, and transport materials.",Conditional,1,Multiple,Yes,Sampling or debulking performed,
SLOT-97CFA5C9A2,THERAPEUTIC_BRONCH,Energy,15,APC_PROBE_FLEX,Flexible APC probe,Flexible APC probe matched to the energy platform and working channel.,Conditional,1,Single,Yes,APC planned,
SLOT-90A43CBAEF,THERAPEUTIC_BRONCH,Energy,16,ENERGY_CABLE_ADAPTER,Energy cable / adapter,Generator-to-instrument cable or adapter required by the selected therapeutic device.,Conditional,1,Multiple,Yes,Selected energy device requires a separate cable/adapter,
SLOT-971BBE6BF8,THERAPEUTIC_BRONCH,Cryotherapy,17,CRYO_SYSTEM_ACCESSORY,Cryosurgery platform accessories,"Required footswitch, gas hose, cylinder adapter, exhaust hose, and cart accessories.",Conditional,1,Multiple,Yes,Cryotherapy planned,
SLOT-D6B291DC80,THERAPEUTIC_BRONCH,Airway protection,18,BITE_BLOCK,Bite block,Bite block matched to scope diameter.,Conditional,1,Single,Yes,Oral insertion without protected airway,
SLOT-D7F2D36301,THERAPEUTIC_BRONCH,Post-procedure,19,ENDOSCOPE_CLEANING_BRUSH,Cleaning brush,Scope/channel-specific cleaning brush for reusable equipment.,Conditional,1,Multiple,Yes,Reusable bronchoscope selected,
SLOT-1538BC9076,THERAPEUTIC_BRONCH,Energy,20,APC_GAS_ACCESSORY,APC gas-system accessories,"Pressure reducer, argon supply connection, and related gas accessories matched to the APC platform.",Conditional,1,Multiple,Yes,APC planned,
SLOT-081FB0C695,THERAPEUTIC_BRONCH,Stent,21,AIRWAY_STENT_SIZING_DEVICE,Airway stent sizing device,Optional airway-sizing device for stent planning.,Optional,1,Single select,Yes,,
SLOT-FDF73730B0,THERAPEUTIC_BRONCH,Sampling,22,BAL_KIT,BAL convenience tubing/kit,Optional BAL tubing or anti-reflux kit.,Optional,1,Single select,Yes,,
SLOT-04C940D8B9,RIGID_BRONCH,Rigid system,1,RIGID_BRONCHOSCOPE_HEAD,Rigid bronchoscope head/base,Proximal bronchoscope head/ventilation element.,Required,1,Single,Yes,,
SLOT-113FCB30ED,RIGID_BRONCH,Rigid system,2,RIGID_BRONCHOSCOPE_BARREL,Rigid tracheoscope/bronchoscope tubes,Rigid tracheoscope or bronchoscope barrel.,Required,1,Multiple,Yes,,Select primary and backup sizes.
SLOT-175CA9F5B4,RIGID_BRONCH,Rigid system,3,RIGID_BRONCHOSCOPE_ACCESSORY,"Ventilation element, jet cannula, ports and caps","Ports, caps, cannulae, O-rings, and other rigid bronchoscopy components.",Required,1,Multiple,Yes,,
SLOT-6BDDC6260B,RIGID_BRONCH,Visualization,4,VIDEO_PROCESSOR,Camera/light/processor platform,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-94783C387D,RIGID_BRONCH,Visualization,5,FLEX_SCOPE_THERAPEUTIC,Flexible bronchoscope through rigid barrel,Flexible bronchoscope with a larger working channel for therapeutic accessories and suction.,Optional,1,Single,Yes,,
SLOT-BC936B7BD8,RIGID_BRONCH,Instrumentation,6,RIGID_FORCEPS,Rigid forceps/shaft/head set,"Rigid grasping, retraction, scissors, or Y-stent forceps.",Required,1,Multiple,Yes,,
SLOT-2D59E32F4B,RIGID_BRONCH,Suction,7,RIGID_SUCTION_CATHETER,Rigid suction catheter,Large-lumen suction catheter for rigid bronchoscopy.,Required,2,Multiple,Yes,,
SLOT-C2EF0C350D,RIGID_BRONCH,Energy,8,GENERIC_ENERGY_PLATFORM,Energy/hemostasis platform and rigid probes,"APC, electrocautery, laser, or other energy platform.",Conditional,1,Multiple,Yes,Thermal modality planned,
SLOT-00E8CCAE2A,RIGID_BRONCH,Cryotherapy,9,CRYOPROBE_FLEX,Cryoprobe/system,"Flexible cryoprobe for cryobiopsy, clot extraction, or therapeutic airway work.",Conditional,1,Multiple,Yes,Cryotherapy planned,
SLOT-3D6358F157,RIGID_BRONCH,Dilation,10,AIRWAY_BALLOON_DILATOR,Balloon dilator,Balloon catheter for airway stricture dilation.,Optional,1,Single,Yes,,
SLOT-5F3642C851,RIGID_BRONCH,Stent,11,AIRWAY_STENT_SILICONE_STRAIGHT,Straight silicone stent(s),Straight tracheal or bronchial silicone stent.,Conditional,1,Multiple,Yes,Silicone stenting planned,
SLOT-D6B6FF156F,RIGID_BRONCH,Stent,12,AIRWAY_STENT_SILICONE_Y,Silicone Y stent,Bifurcation silicone stent.,Conditional,1,Single,Yes,Y-stent planned,
SLOT-6A75E6D661,RIGID_BRONCH,Stent,13,AIRWAY_STENT_SILICONE_HOURGLASS,Hourglass silicone stent,Hourglass-shaped silicone stent for selected stenoses.,Conditional,1,Single,Yes,Hourglass stent planned,
SLOT-3FFB2D272E,RIGID_BRONCH,Stent,14,STENT_APPLICATOR,Silicone stent applicator/loading system,Applicator/loading system for silicone airway stents.,Conditional,1,Single,Yes,Silicone stent planned,
SLOT-99199F9B11,RIGID_BRONCH,Stent,15,AIRWAY_STENT_SEMS_COVERED,Covered SEMS,Self-expanding metallic tracheobronchial stent with covering.,Optional,1,Single,Yes,,
SLOT-140B672D52,RIGID_BRONCH,Retrieval,16,FOREIGN_BODY_FORCEPS_FLEX,Flexible retrieval forceps/basket,Flexible forceps for foreign body or tissue retrieval.,Optional,1,Multiple,Yes,,
SLOT-18617846CD,RIGID_BRONCH,Energy,17,APC_APPLICATOR_RIGID,Rigid or malleable APC applicator,Rigid/malleable APC applicator matched to the energy platform.,Conditional,1,Single,Yes,Rigid APC planned,
SLOT-8AA6269352,RIGID_BRONCH,Energy,18,ENERGY_CABLE_ADAPTER,Energy cable / adapter,Generator-to-instrument cable or adapter required by the selected device.,Conditional,1,Multiple,Yes,Selected energy device requires a separate cable/adapter,
SLOT-D6219069A9,RIGID_BRONCH,Cryotherapy,19,CRYO_SYSTEM_ACCESSORY,Cryosurgery platform accessories,"Required footswitch, gas hose, cylinder adapter, exhaust hose, and cart accessories.",Conditional,1,Multiple,Yes,Cryotherapy planned,
SLOT-E8281AFEA1,RIGID_BRONCH,Energy,20,APC_GAS_ACCESSORY,APC gas-system accessories,"Pressure reducer, argon supply connection, and related gas accessories matched to the APC platform.",Conditional,1,Multiple,Yes,Rigid APC planned,
SLOT-19FC83049A,RIGID_BRONCH,Visualization,21,RIGID_TELESCOPE,Rigid telescope,"Match diameter, length, and direction of view to rigid barrel and optical forceps.",Required,1,Single select,Yes,,
SLOT-72BAE3EC7C,RIGID_BRONCH,Visualization,22,ENDOSCOPY_LIGHT_CABLE,Fiber-optic light cable,Match telescope/endoscope connector and light source.,Required,1,Single select,Yes,,
SLOT-66C8ADA940,RIGID_BRONCH,Instrumentation,23,RIGID_BRONCH_SHAVER,Rigid bronchoscopic shaver system,"Motor, handpiece, blade, and compatible rigid barrel.",Conditional,1,Single select,Yes,,
SLOT-3C8165659D,RIGID_BRONCH,Energy,24,RIGID_BIPOLAR_FORCEPS,Rigid bipolar forceps system,"Match jaw insert, sheath, handle, cable, generator, and barrel.",Conditional,1,Single select,Yes,,
SLOT-702FD644B7,RIGID_BRONCH,Stent,25,AIRWAY_STENT_SIZING_DEVICE,Airway stent sizing device,Optional sizing device for airway stent selection.,Optional,1,Single select,Yes,,
SLOT-C629C55E61,PERC_TRACH,Imaging,1,GENERIC_ULTRASOUND,Ultrasound machine and sterile probe cover,Ultrasound platform and sterile probe cover.,Optional,1,Single,Yes,Ultrasound-guided site assessment used,
SLOT-658CF18CF0,PERC_TRACH,Bronchoscopy,2,FLEX_SCOPE_SINGLE_USE,Slim/regular bronchoscope for guidance,"Disposable flexible bronchoscope for ICU, OR, or isolation workflows.",Required,1,Single,Yes,,
SLOT-2C4CF749E6,PERC_TRACH,Bronchoscopy,3,VIDEO_PROCESSOR,Compatible display/processor,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-BC6864D752,PERC_TRACH,Ventilation,4,GENERIC_AIRWAY_ADAPTER,Bronchoscopy swivel and ventilation adapter,"Swivel, bronchoscopy, or ventilation adapter.",Required,1,Single,Yes,,
SLOT-09D5542BAA,PERC_TRACH,Procedure kit,5,PDT_KIT,Percutaneous tracheostomy kit/tray,Dilational percutaneous tracheostomy kit or tray.,Required,1,Single,Yes,,
SLOT-6EAB7FD727,PERC_TRACH,Tube,6,TRACH_TUBE_CUFFED,Primary cuffed tracheostomy tube,Cuffed adult tracheostomy tube.,Required,1,Single,Yes,,
SLOT-738A987A4C,PERC_TRACH,Tube,7,TRACH_TUBE_EVAC,Subglottic-suction tracheostomy tube,Cuffed tracheostomy tube with subglottic suction lumen.,Optional,1,Single,Yes,Subglottic suction desired,
SLOT-32739F7002,PERC_TRACH,Tube,8,TRACH_TUBE_CUFFED,Backup tracheostomy tube - one size smaller,Cuffed adult tracheostomy tube.,Required,1,Single,Yes,,
SLOT-657F12A89F,PERC_TRACH,Suction,9,GENERIC_SUCTION,Suction tubing/canister and catheter,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-126F71E1BD,PERC_TRACH,Post-procedure,10,GENERIC_SPECIMEN,"Tube labels, securement, dressing, and bedside signage","Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,
SLOT-8E4B5F2EC9,MED_THORACOSCOPY,Imaging,1,GENERIC_ULTRASOUND,Ultrasound machine and sterile cover,Ultrasound platform and sterile probe cover.,Required,1,Single,Yes,,
SLOT-5A9EDD575F,MED_THORACOSCOPY,Platform,2,PLEUROSCOPE,Pleuroscope,Semi-rigid/flexible pleuroscope.,Required,1,Single,Yes,,
SLOT-3CA143BB11,MED_THORACOSCOPY,Platform,3,VIDEO_PROCESSOR,Compatible processor/light source,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-9448C2A991,MED_THORACOSCOPY,Access,4,PLEUROSCOPY_TROCAR,Pleuroscopy trocar/cannula,Trocar/cannula for medical thoracoscopy.,Required,1,Single,Yes,,
SLOT-545818F1DC,MED_THORACOSCOPY,Sampling,5,PLEURAL_BIOPSY_FORCEPS,Pleural biopsy forceps,Biopsy forceps for pleuroscopy.,Required,1,Multiple,Yes,,
SLOT-BC9CCE1853,MED_THORACOSCOPY,Sampling,6,GENERIC_SPECIMEN,Formalin/sterile containers and labels,"Laboratory containers, labels, and transport materials.",Required,1,Multiple,Yes,,
SLOT-D8D781E494,MED_THORACOSCOPY,Suction/irrigation,7,GENERIC_SUCTION,Suction/irrigation tubing and canisters,Generic suction setup.,Required,1,Multiple,Yes,,
SLOT-1D10D8A2BF,MED_THORACOSCOPY,Pleurodesis,8,TALC_POUDRAGE_KIT,Talc poudrage delivery kit,Sterile talc poudrage delivery kit.,Conditional,1,Single,Yes,Poudrage planned,
SLOT-0B24E5F37A,MED_THORACOSCOPY,Pleurodesis,9,TALC_VIAL,Sterile talc vial,Sterile talc vial for slurry or atomizer use.,Conditional,1,Single,Yes,Talc pleurodesis planned,
SLOT-57CA4B1298,MED_THORACOSCOPY,Drainage,10,CHEST_TUBE_SMALL_BORE,Post-procedure chest tube,Seldinger or pigtail pleural drainage catheter.,Required,1,Single,Yes,,
SLOT-AA3C2EAA6D,MED_THORACOSCOPY,Drainage,11,GENERIC_DRAINAGE_UNIT,Chest drainage unit and suction connection,Wet or dry suction chest drainage unit.,Required,1,Single,Yes,,
SLOT-9A1C0491F9,MED_THORACOSCOPY,Drainage,12,IPC_INSERTION_KIT,Indwelling pleural catheter kit,Tunneled indwelling pleural catheter and insertion kit.,Optional,1,Single,Yes,IPC placement planned,
SLOT-E63DC64C2F,MED_THORACOSCOPY,Visualization,13,THORACOSCOPY_TELESCOPE,Thoracoscopy telescope,"Match telescope diameter, direction of view, camera, light cable, and trocar.",Required,1,Single select,Yes,,
SLOT-6D737D1334,MED_THORACOSCOPY,Visualization,14,ENDOSCOPY_LIGHT_CABLE,Fiber-optic light cable,Match telescope and light source connectors.,Required,1,Single select,Yes,,
SLOT-65FFA3703B,MED_THORACOSCOPY,Instrumentation,15,THORACOSCOPY_SCISSORS,Thoracoscopy scissors,Select shaft diameter and working length for trocar.,Optional,1,Single select,Yes,,
SLOT-0037091804,MED_THORACOSCOPY,Instrumentation,16,THORACOSCOPY_PROBE,Thoracoscopy surgical probe,Select shaft diameter and working length for trocar.,Optional,1,Single select,Yes,,
SLOT-694FCE203D,MED_THORACOSCOPY,Platform,17,CO2_INSUFFLATOR,CO2 insufflation/regulation unit,Only when used by local technique and device labeling.,Conditional,1,Single select,Yes,,
SLOT-99F995A756,MED_THORACOSCOPY,Airway isolation,18,ENDOBRONCHIAL_BLOCKER,Endobronchial blocker,Optional one-lung isolation alternative; match ETT and bronchoscope dimensions.,Conditional,1,Single select,Yes,,
SLOT-2947B0846D,WLL,Airway isolation,1,DLT_LEFT,Left double-lumen tube - primary,Left-sided double-lumen endobronchial tube.,Required,1,Single,Yes,,
SLOT-C3D82E151B,WLL,Airway isolation,2,DLT_RIGHT,Right double-lumen tube - backup/selected anatomy,Right-sided double-lumen endobronchial tube.,Optional,1,Single,Yes,,
SLOT-1039D6C9E8,WLL,Bronchoscopy,3,FLEX_SCOPE_SINGLE_USE,Slim bronchoscope for DLT confirmation,"Disposable flexible bronchoscope for ICU, OR, or isolation workflows.",Required,1,Single,Yes,,
SLOT-5B9AA7A469,WLL,Bronchoscopy,4,VIDEO_PROCESSOR,Compatible display/processor,"Video processor, light source, or integrated display platform.",Required,1,Single,Yes,,
SLOT-DD40010751,WLL,Ventilation,5,GENERIC_AIRWAY_ADAPTER,DLT bronchoscopy/ventilation adapters and clamps,"Swivel, bronchoscopy, or ventilation adapter.",Required,1,Multiple,Yes,,
SLOT-41977168DA,WLL,Lavage circuit,6,GENERIC_WLL_LAVAGE,Warmed saline delivery and drainage circuit,Warmed saline delivery and drainage circuit for whole-lung lavage.,Required,1,Multiple,Yes,,"Institution-designed setup; validate volumes, warming, and connectors."
