role_code,category,role_name,description,selection_guidance,requires_current_ifu
ENDOSCOPY_MONITOR,Imaging platform,Endoscopy monitor,Medical-grade display used with the endoscopy video platform.,"Match video inputs, resolution, mounting, and current platform compatibility.",Yes
PLEURAL_BIOPSY_FORCEPS,Medical thoracoscopy,Pleural biopsy forceps,Biopsy forceps for pleuroscopy.,Match pleuroscope channel and working length.,Yes
PLEUROSCOPE,Medical thoracoscopy,Pleuroscope,Semi-rigid/flexible pleuroscope.,"Match processor, trocar, biopsy forceps, and channel requirements.",Yes
PLEUROSCOPY_TROCAR,Medical thoracoscopy,Pleuroscopy trocar,Trocar/cannula for medical thoracoscopy.,Match pleuroscope and access strategy.,Yes
THORACOSCOPY_SCISSORS,Medical thoracoscopy,Thoracoscopy scissors,Rigid thoracoscopic scissors.,"Match diameter, working length, trocar capacity, and handle system.",Yes
THORACOSCOPY_PROBE,Medical thoracoscopy,Thoracoscopy surgical probe,Rigid surgical probe used during thoracoscopy.,"Match shaft diameter, working length, and trocar.",Yes
THORACOSCOPY_TELESCOPE,Medical thoracoscopy,Thoracoscopy telescope,Rigid thoracoscopy telescope or optical endoscope.,"Match diameter, working length, direction of view, trocar, camera, and light cable.",Yes
PDT_KIT,Percutaneous tracheostomy,Percutaneous tracheostomy kit,Dilational percutaneous tracheostomy kit or tray.,"Filter by technique, dilator/tube sizes, and included components.",Yes
RADIAL_EBUS_PROBE,Peripheral bronchoscopy,Radial EBUS probe,Radial ultrasound miniature probe for peripheral lesion localization.,"Match probe frequency, working length, minimum channel, drive unit, and guide sheath.",Yes
RADIAL_EBUS_DRIVE_UNIT,Peripheral bronchoscopy,Radial EBUS probe drive unit,Mechanical probe drive unit for radial EBUS miniature probes.,Match ultrasound processor and probe family.,Yes
IPC_DRAINAGE_KIT,Pleural procedures,Indwelling pleural catheter drainage kit,"Vacuum bottle, bag, or drainage set for an indwelling pleural catheter.",Must match the implanted catheter family.,Yes
IPC_INSERTION_KIT,Pleural procedures,Indwelling pleural catheter insertion kit,Tunneled indwelling pleural catheter and insertion kit.,Match catheter family and drainage accessories.,Yes
IPC_DRESSING_KIT,Pleural procedures,IPC dressing kit,Dressing supplies packaged for an indwelling pleural catheter.,Match catheter valve/system and local home-care workflow.,Yes
IPC_MANAGEMENT_ACCESSORY,Pleural procedures,IPC management accessory,"Valve, cap, drainage line, adapter, dilator, or removal accessory for an IPC system.",Match exact catheter system and current IFU.,Yes
CHEST_TUBE_LARGE_BORE,Pleural procedures,Large-bore chest tube set,Large-bore percutaneous or surgical chest tube set.,"Filter by French size, insertion technique, and included tray components.",Yes
PLEURAL_DRAINAGE_ACCESSORY,Pleural procedures,Pleural drainage accessory,"Tubing adapter, connecting tube, one-way valve, chest-tube adapter, or aspiration accessory set.","Match catheter hub, drainage system, intended air/fluid use, and current IFU.",Yes
PNEUMOTHORAX_KIT,Pleural procedures,Pneumothorax catheter or aspiration kit,Small-caliber catheter set for pneumothorax aspiration or drainage.,"Filter by insertion method, French size, catheter length, included one-way valve, and intended duration.",Yes
CHEST_TUBE_SMALL_BORE,Pleural procedures,Small-bore chest drain,Seldinger or pigtail pleural drainage catheter.,"Filter by French size, length, locking/pigtail design, and indication.",Yes
CHEST_TUBE_SURGICAL,Pleural procedures,Surgical thoracic catheter,Straight/right-angle surgical chest tube or trocar catheter.,"Filter by French size, length, tip geometry, and trocar option.",Yes
THORACENTESIS_KIT,Pleural procedures,Thoracentesis kit/catheter,"Integrated thoracentesis catheter, tray, or drainage kit.","Filter by French size, length, valved design, and drainage connection.",Yes
TALC_VIAL,Pleurodesis,Sterile talc vial,Sterile talc vial for slurry or atomizer use.,"Match local formulary, dose, and delivery method.",Yes
TALC_POUDRAGE_KIT,Pleurodesis,Talc poudrage kit,Sterile talc poudrage delivery kit.,Match local formulary and delivery method.,Yes
BRONCH_REPROCESSING_KIT,Reprocessing,Bronchoscope reprocessing kit,Single-use kit supporting bedside pre-cleaning/transport.,Match local reprocessing policy.,Yes
ENDOSCOPE_CLEANING_BRUSH,Reprocessing,Endoscope cleaning brush,Single-use or reusable cleaning brush for endoscope channels or wire sheaths.,Match channel diameter/length and local reprocessing instructions.,Yes
FOREIGN_BODY_BASKET,Retrieval,Airway retrieval basket/net,Flexible basket or net for foreign body retrieval.,"Filter by sheath OD, opening size, channel, and working length.",Yes
FOREIGN_BODY_FORCEPS_FLEX,Retrieval,Flexible grasping forceps,Flexible forceps for foreign body or tissue retrieval.,"Filter by jaw design, opening, OD, and channel.",Yes
RIGID_BIPOLAR_FORCEPS,Rigid bronchoscopy,Rigid bipolar forceps,Rigid bipolar forceps system for excisional biopsy or coagulation.,"Match insert, sheath, handle, cable, generator, and barrel dimensions.",Yes
RIGID_BRONCHOSCOPE_BARREL,Rigid bronchoscopy,Rigid bronchoscope barrel/tube,Rigid tracheoscope or bronchoscope barrel.,"Filter by internal/external diameter, working length, and ventilation interface.",Yes
RIGID_BRONCHOSCOPE_HEAD,Rigid bronchoscopy,Rigid bronchoscope head,Proximal bronchoscope head/ventilation element.,"Match barrel family, ports, ventilation strategy, and optics.",Yes
RIGID_BRONCH_SHAVER,Rigid bronchoscopy,Rigid bronchoscopic shaver,Motorized rigid shaver blade or secretion-removal tool.,"Match handpiece, motor controller, blade diameter, barrel lumen, and electrosurgical requirements.",Yes
RIGID_BRONCHOSCOPE_ACCESSORY,Rigid bronchoscopy,Rigid bronchoscopy accessory,"Ports, caps, cannulae, O-rings, and other rigid bronchoscopy components.",Match the rigid system model and opening required for accessory passage.,Yes
RIGID_FORCEPS,Rigid bronchoscopy,Rigid bronchoscopy forceps/instrument,"Rigid grasping, retraction, scissors, or Y-stent forceps.","Match handle, shaft diameter, head, barrel ID, and intended task.",Yes
RIGID_SUCTION_CATHETER,Rigid bronchoscopy,Rigid bronchoscopy suction catheter,Large-lumen suction catheter for rigid bronchoscopy.,"Filter by ID/OD, length, flexibility, and connector.",Yes
RIGID_TELESCOPE,Rigid bronchoscopy,Rigid telescope,Rigid optical telescope used through a bronchoscope or tracheoscope.,"Match telescope diameter, length, direction of view, and compatible barrel/forceps.",Yes
TBNA_NEEDLE,Sampling,Conventional TBNA needle,Non-EBUS transbronchial aspiration needle.,"Filter by gauge, sheath diameter, and minimum channel.",Yes
EBUS_NEEDLE_FNB,Sampling,EBUS FNB needle,Core-biopsy needle for EBUS-guided sampling.,"Filter by gauge, scope compatibility, and intended pathology workflow.",Yes
EBUS_MINIFORCEPS,Sampling,EBUS intranodal mini-forceps,Mini-forceps for intranodal histology after EBUS access.,"Filter by channel, access-hole workflow, and scope compatibility.",Yes
EBUS_NEEDLE_FNA,Sampling,EBUS-TBNA FNA needle,Needle for EBUS-guided aspiration.,"Filter by gauge, scope compatibility, minimum channel, and packaging.",Yes
BIOPSY_FORCEPS_FLEX,Sampling,Flexible bronchoscopy biopsy forceps,Single-use or reusable forceps for endobronchial/transbronchial biopsy.,"Filter by jaw type, OD, working length, and minimum channel.",Yes
GUIDE_SHEATH_KIT,Sampling,Peripheral biopsy guide-sheath kit,Guide sheath kit used to maintain access to a peripheral lesion for repeated sampling.,"Match minimum channel, working length, compatible radial probe, included forceps/brush, and local navigation workflow.",Yes
GUIDING_DEVICE,Sampling,Peripheral guiding device,Rotatable or articulating guiding device used to direct sampling tools.,"Match bronchoscope channel, working length, compatible tools, and current IFU.",Yes
CYTOLOGY_BRUSH,Sampling,Pulmonary cytology brush,Covered or uncovered brush for airway cytology or microbiology.,"Filter by sheath, brush dimensions, working length, and channel.",Yes
VACUUM_LOCKING_SYRINGE,Sampling accessory,Vacuum locking syringe,Vacuum-locking syringe used for aspiration sampling.,"Match volume, locking positions, stopcock, and needle system.",Yes
SPECIMEN_TRAP,Specimen management,Bronchoscopy specimen trap,"Sterile trap for BAL, wash, or secretion collection.",Match suction tubing and local laboratory workflow.,Yes
APC_GAS_ACCESSORY,Therapeutic bronchoscopy,APC gas-system accessory,"Argon pressure reducer, gas cylinder, connecting tube, or related APC gas accessory.","Match local gas standard, generator, cylinder connector, and institutional gas-safety policy.",Yes
CRYO_SYSTEM_ACCESSORY,Therapeutic bronchoscopy,Cryosurgery platform accessory,"Cryosurgery footswitch, gas hose, gas adapter, exhaust hose, cart, or related accessory.","Match the cryosurgery platform, gas source, country-specific connector, and local engineering requirements.",Yes
ENERGY_CABLE_ADAPTER,Therapeutic bronchoscopy,Energy-platform cable or adapter,Connecting cable or adapter between an electrosurgical instrument and generator.,"Match both connector standards, generator model, instrument, maximum electrical capacity, and reprocessing requirements.",Yes
APC_PROBE_FLEX,Therapeutic bronchoscopy,Flexible APC probe,Flexible argon plasma coagulation probe for endoscopic airway therapy.,"Match probe diameter, beam form, working length, compatible APC generator, and airway-fire precautions.",Yes
CRYOPROBE_FLEX,Therapeutic bronchoscopy,Flexible cryoprobe,"Flexible cryoprobe for cryobiopsy, clot extraction, or therapeutic airway work.","Match probe OD, oversheath, cryosurgical platform, and bronchoscope channel.",Yes
APC_APPLICATOR_RIGID,Therapeutic bronchoscopy,Rigid or malleable APC applicator,Rigid/malleable APC applicator for use through rigid bronchoscopy or open airway access.,"Match shaft geometry, electrode type, platform, and local credentialing.",Yes
CO2_INSUFFLATOR,Thoracoscopy platform,CO2 insufflator,CO2 regulation or insufflation unit used for applicable endoscopic procedures.,"Verify institutional technique, tubing, pressure limits, and scope of indication.",Yes
TRACH_TUBE_CUFFED,Tracheostomy,Adult cuffed tracheostomy tube,Cuffed adult tracheostomy tube.,"Filter by size, length, cuff, inner cannula, and flange geometry.",Yes
TRACH_TUBE_CUFFLESS,Tracheostomy,Adult cuffless tracheostomy tube,Cuffless adult tracheostomy tube.,"Filter by size, length, inner cannula, and flange geometry.",Yes
TRACH_TUBE_EVAC,Tracheostomy,Subglottic suction tracheostomy tube,Cuffed tracheostomy tube with subglottic suction lumen.,Filter by tube size/length and suction-lumen requirement.,Yes
GENERIC_WLL_LAVAGE,Whole lung lavage,WLL saline/tubing/drainage circuit,Warmed saline delivery and drainage circuit for whole-lung lavage.,Institution-designed and clinically validated setup.,Yes
