product_id,source_id,source_location,claim_type,verification_status,notes
PRD-07EA3DD76E,SRC001,p. 30,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-087FFD6337,SRC030,pp. 66-70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-08C3139357,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-09192221FE,SRC001,p. 25,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-095515E20C,SRC021,p. 10,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-09AF1B1AE5,SRC019,"APC pressure reducers and gas accessories, catalog pp. 10-11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0A2A8CB33F,SRC007,Therapeutic bronchoscopy,Candidate seed,Candidate - user seed; primary source required,
PRD-0A2A8CB33F,SRC012,Respiratory 14.11 (PDF p. 124),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-0A2ABE77F9,SRC030,p. 92,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-0A72BF7A79,SRC007,Therapeutic bronchoscopy,Candidate seed,Candidate - user seed; primary source required,
PRD-0A9806F6F2,SRC017,"Bipolar cables, catalog p. 11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0ADECF7C68,SRC017,"Bipolar cables, catalog p. 9",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0B65831FF3,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-0BA1BB5296,SRC021,p. 13,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0BAE92E0E1,SRC007,Flexible bronchoscopy platforms!17,Candidate seed,Candidate - user seed; primary source required,
PRD-0BCFAC0926,SRC021,p. 26,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0C13E4001B,SRC021,p. 25,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0C3327D71D,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-0C7A44B87D,SRC017,"Bipolar cables, catalog p. 10",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0C821995AC,SRC018,"Accessories for ERBECRYO 2, catalog p. 7",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0CD8E49B3D,SRC001,p. 19,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-0D187D741A,SRC016,"Specifications table, brochure p. 2",Catalog/SKU evidence,Verified - manufacturer/distributor brochure,
PRD-0D2C2802C8,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-0D6E4DB711,SRC012,Respiratory 14.09 (PDF p. 122),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-0E088FC681,SRC027,p. 15,Exact catalog entry,Verified - manufacturer catalog and IFU,
PRD-0E6A5953F1,SRC021,p. 52,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0EA2B293A4,SRC030,pp. 66-70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-0EA65ED2D3,SRC030,p. 144,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-0EF1C15F6B,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-0EF1C15F6B,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-0F20768341,SRC021,p. 6,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0F30F277C1,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-0F34939AF6,SRC030,p. 86,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-0F561988AB,SRC017,"Return-electrode cables, catalog p. 13",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-0FC4F02CEE,SRC016,"Specifications table, brochure p. 2",Catalog/SKU evidence,Verified - manufacturer/distributor brochure,
PRD-0FD6CC7A8E,SRC030,pp. 70-73,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-0FECB0AD06,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-102569C82C,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-104DF655AD,SRC022,p. 7.05,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-1058B185EB,SRC021,p. 11,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-1062EA74E3,SRC017,"Bipolar cables, catalog p. 11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-108394A19E,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-10959CEA29,SRC027,p. 15,Exact catalog entry,Verified - manufacturer catalog and IFU,
PRD-10B24D66DD,SRC030,p. 72,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-112FA15A7C,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-11ADF871FE,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1215DE841C,SRC001,p. 25,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-12231F4168,SRC008,CSV row 23,Candidate seed,Candidate - user seed; primary source required,
PRD-12231F4168,SRC020,Wayne Pneumothorax Trocar page,Catalog/SKU evidence,Verified product/SKU identity - exact configuration pending,Manufacturer page supports product/SKU identity; exact configuration remains to be verified.
PRD-1239820D80,SRC003,p. 7,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-123BAC018B,SRC021,p. 19,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-125BCF3BDD,SRC021,p. 16,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-1266378787,SRC022,p. 2.13,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-128B8E1F80,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-1292C69B1E,SRC007,Flexible bronchoscopy platforms!15,Candidate seed,Candidate - user seed; primary source required,
PRD-1292C69B1E,SRC012,Respiratory 14.04 (PDF p. 117),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-129E6C270A,SRC030,p. 92,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-12CFCE9A6C,SRC022,p. 2.05,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-1339050168,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-136C288332,SRC022,p. 2.16,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-138ECF4319,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-13CE349B91,SRC026,p. 6,Exact catalog entry,Verified - U.S. manufacturer brochure,
PRD-13EE4FE542,SRC006,Product list 2025!bonastent,Candidate seed,Candidate - user seed; primary source required,
PRD-1411E60176,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1425225614,SRC017,"Ignition test adapters, catalog p. 18",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Also listed in ERBE connecting cables and adapters catalog.
PRD-1425225614,SRC019,"APC ignition test adapters, catalog p. 8",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-1469E79896,SRC027,p. 13,Exact catalog entry,Verified - manufacturer catalog,
PRD-148F8BC5BA,SRC006,Product list 2025!Sheet6,Candidate seed,Candidate - user seed; primary source required,
PRD-14D0927E5A,SRC021,p. 22,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-14ED7EA20B,SRC017,"Monopolar cables, catalog p. 5",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-150ECDCD05,SRC022,p. 7.08,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-152A0BFA3B,SRC003,p. 8,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-15E6B259A7,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-167A020826,SRC021,p. 22,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-16A5369871,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-16C811C696,SRC030,p. 143,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1708F37D2C,SRC019,"APCapplicator, catalog pp. 7-8",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-17C3809F8C,SRC030,p. 87,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-17DB23EBC0,SRC030,p. 93,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-17F5A03227,SRC027,p. 13,Exact catalog entry,Verified - manufacturer catalog,
PRD-1840ABC86D,SRC022,p. 7.10,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-184B3719A2,SRC007,pleural seed,Candidate seed,Candidate - user seed; primary source required,
PRD-188391A3A6,SRC027,p. 13,Exact catalog entry,Verified - manufacturer catalog,
PRD-1894515971,SRC001,p. 28,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-189E7EF27A,SRC003,p. 12,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-18D62EB4E8,SRC021,p. 6,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-18F33007D6,SRC021,p. 15,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-1905FD9828,SRC030,p. 72,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-190EC613D0,SRC030,p. 89,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-19AC7F0794,SRC024,p. 2,Exact catalog entry,Verified - current manufacturer brochure,
PRD-19BAA6E1D6,SRC019,"FiAPC plus probes, catalog p. 4",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-19D03D9B14,SRC017,"Bipolar cables, catalog p. 11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-1A0C09927F,SRC016,"Specifications table, brochure p. 2",Catalog/SKU evidence,Verified - manufacturer/distributor brochure,
PRD-1A152615A0,SRC006,Product list 2025!Sheet8,Candidate seed,Candidate - user seed; primary source required,
PRD-1B9BB00FC8,SRC022,p. 7.04,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-1BCD8D38BC,SRC012,Respiratory 14.08 (PDF p. 121),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-1BD0F9BD70,SRC019,"APC pressure reducers and gas accessories, catalog pp. 10-11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-1C368932FF,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-1C70287572,SRC030,p. 75,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1C81CBF06E,SRC021,p. 12,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-1CA81E960D,SRC030,p. 88,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1CBA97E863,SRC008,CSV row 17,Candidate seed,Candidate - user seed; primary source required,
PRD-1CCEDCCC76,SRC020,Simple Pneumothorax Aspiration Accessory Set page,Catalog/SKU evidence,Verified product/SKU identity - exact configuration pending,Manufacturer page supports product/SKU identity; exact configuration remains to be verified.
PRD-1CFFD3C377,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1D568615A4,SRC027,p. 11,Exact catalog entry,Verified - manufacturer catalog,
PRD-1D78A1B240,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-1D78A1B240,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-1D78A1B240,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-1DCE96086D,SRC021,p. 15,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-1DDAD96A7B,SRC017,"Bipolar cables, catalog p. 8",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-1E339ED4FF,SRC030,p. 88,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1E5D7D510F,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1E613C92C3,SRC030,p. 88,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1E9BA85FC4,SRC022,p. 2.16,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-1EC996BD63,SRC027,pp. 9-10,Exact catalog entry,Verified - manufacturer catalog,
PRD-1EEDD71C53,SRC030,pp. 66-70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1F48992C6C,SRC008,CSV row 3,Candidate seed,Candidate - user seed; primary source required,
PRD-1F54DB1DE4,SRC021,p. 3,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-1F69D6AD05,SRC030,p. 144,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-1F9597C1B1,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-1FE403B84C,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2058BA100A,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-207F57235E,SRC019,"APC pressure reducers and gas accessories, catalog pp. 10-11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-20CB4910F8,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-2103064DB9,SRC022,p. 2.16,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-2110EC2BCF,SRC030,p. 70,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-212BC58910,SRC030,p. 93,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-212CEA70A3,SRC012,Respiratory 14.12 (PDF p. 125),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2158C0F6D1,SRC030,p. 77,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-217AB10438,SRC003,p. 6,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-21832A5DCA,SRC016,"Specifications table, brochure p. 2",Catalog/SKU evidence,Verified - manufacturer/distributor brochure,
PRD-21F6CB5BAC,SRC019,"FiAPC plus probes, catalog p. 4",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-2218769436,SRC019,"APCapplicator, catalog pp. 7-8",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-225513EE42,SRC022,p. 2.16,Exact catalog entry,Verified - manufacturer catalog; current market status pending,
PRD-2274F20402,SRC030,p. 72,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-22A349ADEC,SRC008,CSV row 35,Candidate seed,Candidate - user seed; primary source required,
PRD-22A349ADEC,SRC026,p. 6,Exact catalog entry,Verified - U.S. manufacturer brochure,
PRD-2302DA77DA,SRC003,p. 3,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-231DEF421E,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-235F9C6FBD,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-235F9C6FBD,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-235F9C6FBD,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-237B24FE49,SRC003,pp. 13-14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-237B24FE49,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-237B24FE49,SRC015,"Ordering information, pp. 2-3",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-23D7DAB53A,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-23E592FF23,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-23E592FF23,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-241DE5F6DF,SRC017,"Monopolar cables, catalog p. 5",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-241E54356E,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-246C3ADE5E,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-247C9B978C,SRC030,p. 144,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-24AE19F5D2,SRC021,pp. 53-55,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-24BB958E53,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-24DF8E0987,SRC017,"Monopolar cables, catalog p. 6",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-251B275384,SRC003,p. 7,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2522C4A9A6,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-2538CEF181,SRC001,p. 28,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-25415AA480,SRC012,Respiratory 14.06 (PDF p. 119),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-25415AA480,SRC029,p. 1,Exact catalog entry,Verified - manufacturer flyer; current U.S. status pending,
PRD-25D4F080A3,SRC021,p. 18,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2616E505ED,SRC021,p. 5,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-26349CF364,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2644647C19,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-2644946D4C,SRC013,Tracheal stent specifications (PDF p. 12),Catalog/SKU evidence,Verified exact catalog entry - global/older source,Exact catalog/SKU evidence from an older global manufacturer catalog; U.S. status unverified.
PRD-2663A0A0F5,SRC007,Perc trach and WLL,Candidate seed,Candidate - user seed; primary source required,
PRD-2677F0C69F,SRC012,Respiratory 14.13 (PDF p. 127),Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-26A160D11E,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-27460DB568,SRC017,"Monopolar adapters, catalog p. 15",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-27506A7423,SRC007,Flexible bronchoscopy platforms!12,Candidate seed,Candidate - user seed; primary source required,
PRD-277D52B6BC,SRC030,p. 91,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-27B1BEE50C,SRC003,p. 14,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-27B1BEE50C,SRC004,p. 4,Cross-check,Verified - manufacturer catalog,Older manufacturer brochure.
PRD-27B1BEE50C,SRC015,"Ordering information, pp. 3-4",Catalog/SKU evidence,Verified - current manufacturer page capture,Exact ordering table and product specifications shown on manufacturer page capture.
PRD-27BD1F9DB6,SRC017,"Monopolar cables, catalog p. 4",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-27BE0EC96A,SRC017,"Return-electrode cables, catalog p. 13",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-27BF9F087E,SRC003,p. 6,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-27CF357590,SRC008,CSV row 15,Candidate seed,Candidate - user seed; primary source required,
PRD-28C10C5EE9,SRC030,p. 75,Exact catalog entry,Verified - legacy U.S. manufacturer catalog; current status pending,
PRD-293EEBCDF0,SRC019,"APC pressure reducers and gas accessories, catalog pp. 10-11",Catalog/SKU evidence,Verified exact catalog entry - non-U.S. source,Exact catalog/SKU evidence from a non-U.S. manufacturer catalog.
PRD-2952D06A3F,SRC001,p. 28,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-29DCCCAF2B,SRC001,pp. 12-13,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-29E6B2C2D0,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-29E6B2C2D0,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-2A67871443,SRC006,Product list 2025!Sheet5,Candidate seed,Candidate - user seed; primary source required,
PRD-2A67871443,SRC027,p. 5,Exact catalog entry,Verified - manufacturer catalog,
PRD-2A8E02EC0E,SRC001,p. 29,Catalog/SKU evidence,Verified - manufacturer catalog,
PRD-2ACB51E58C,SRC021,pp. 44-48,Exact catalog entry,Verified - manufacturer catalog; current U.S. status pending,
PRD-2B5132F8C5,SRC003,p. 12,Catalog/SKU evidence,Verified - manufacturer catalog,
